timestamp,dtNs,ax,ay,az,gx,gy,gz
306183.469246250,0,-0.35055223,0.052862145,-0.28938526,0.014918845,-0.010391026,0.0151092075
306183.489246250,0,0.0013383627,-0.0054203197,0.0017112494,0.034212504,-0.017233828,-0.0027576277
306183.509246250,20000000,0.00030475855,-0.0026412532,0.00094628334,0.040502585,-0.0193214,-0.011039807
306183.529246250,0,4.8577785e-05,0.001351893,-4.1365623e-05,0.043741833,-0.02115358,-0.006136894
306183.549246250,20000000,-0.0009679496,0.00824333,-0.0033849478,0.038227066,-0.015199022,0.0096271
306183.569246250,0,-0.0025578141,0.008853942,-0.0030180216,0.03141692,0.003335517,0.026001606
306183.589246250,0,-0.0017893314,0.007290207,-0.004034281,0.030155545,0.012941339,0.032693744
306183.609246250,0,-0.00018841028,0.0015212893,-0.0020390153,0.04166235,0.011961767,0.08004215
306183.629246250,20000000,5.1945448e-05,0.0014428571,-0.0036099553,0.07143659,0.02757956,0.10519354
306183.649246250,40000000,0.00029322505,0.0013644621,-0.005181074,0.10121083,0.043197356,0.13034493
306183.669246250,60000000,0.0005353391,0.0012861043,-0.0067522526,0.13098508,0.058815148,0.1554963
306183.689246250,0,0.001834482,0.002506435,-0.0058754086,0.17791836,0.087588824,0.2310928
306183.709246250,20000000,0.0016748607,0.0029399619,-0.004084468,0.2053538,0.09828861,0.2582919
306183.729246250,0,0.0053097904,0.010352343,-0.006555319,0.22757727,0.12012937,0.3018342
306183.749246250,0,0.0040374994,0.005204454,-0.0013733506,0.21090284,0.11441751,0.29081643
306183.769246250,20000000,0.0027757585,5.7399273e-05,0.003803134,0.19422841,0.10870565,0.27979863
306183.789246250,0,-0.00024938583,-0.018468097,0.017077327,0.1405667,0.06876965,0.20747231
306183.809246250,20000000,-0.0016056895,-0.025529526,0.019626915,0.11686584,0.04468744,0.16462046
306183.829246250,0,-0.0017036796,-0.028814107,0.021095812,0.10129491,0.022034267,0.12817906
306183.849246250,0,-0.0009932816,-0.03282903,0.018423736,0.07370957,-0.014519313,0.061213963
306183.869246250,0,0.0018582344,-0.026449084,0.008052349,0.039636962,-0.023239532,0.00567103
306183.889246251,20000000,0.0053892136,-0.023468226,0.00091409683,0.02969082,-0.016225757,0.0002497146
306183.909246251,0,-0.00071921945,-0.01538682,0.00028586388,0.028612874,0.0037023283,0.019295186
306183.929246251,20000000,0.0014848113,-0.011898562,-0.0036030412,0.031978253,0.008358868,0.035286527
306183.949246251,0,0.0056969523,-0.01395604,-0.0060144663,0.046563353,0.021113932,0.058672965
306183.969246251,0,0.0029627979,-0.01271072,-0.0019620657,0.07513268,0.030025184,0.07274039
306183.989246251,0,0.00023150444,-0.011465758,0.0020867586,0.103702016,0.038936436,0.08680782
306184.009246251,20000000,-0.0024968684,-0.010221243,0.0061320662,0.13227135,0.047847692,0.10087524
306184.029246251,0,-0.0002092123,-0.017056912,0.011564195,0.20253198,0.031891216,0.12983213
306184.049246251,0,0.001868695,-0.015570775,0.009209871,0.22745156,0.024484044,0.13195725
306184.069246251,20000000,0.0039532185,-0.014086515,0.0068446994,0.25237113,0.017076872,0.13408236
306184.089246251,0,-0.0012723505,-0.0013907403,0.0016195178,0.27060044,0.007111016,0.13993509
306184.109246251,20000000,-0.0020999014,-9.277463e-05,0.00044465065,0.2743121,0.009930396,0.15801239
306184.129246251,0,0.0043536723,0.005874589,-0.004616916,0.26130164,0.032057364,0.17849512
306184.149246251,0,0.0008009076,0.0017927587,0.00070261955,0.22116992,0.031437926,0.18122894
306184.169246251,0,0.001962781,-0.0039830953,0.0011894703,0.20251,0.040458478,0.16564219
306184.189246251,0,0.00042766333,-0.008483022,0.0046138763,0.16261524,0.037957657,0.13381861
306184.209246251,0,-0.0010798275,-0.01009503,0.0063892007,0.13115543,0.026527617,0.10574596
306184.229246251,20000000,-0.0025845766,-0.011707544,0.008161843,0.09969563,0.01509758,0.0776733
306184.249246251,40000000,-0.0046423376,-0.014967889,0.010382175,0.026301436,-0.010129054,0.012119338
306184.269246251,0,-0.002961576,-0.016178042,0.010327995,-0.0024858676,-0.020112567,-0.012847029
306184.289246251,0,-0.0021952987,-0.016287237,0.007698357,-0.019040592,-0.023012623,-0.032538816
306184.309246251,20000000,-0.0014286041,-0.016396388,0.005068481,-0.03559532,-0.02591268,-0.052230604
306184.329246251,0,-0.0011617839,-0.015781567,0.002784729,-0.036869917,-0.023543227,-0.05542974
306184.349246251,20000000,-0.0008944273,-0.0151667,0.0005007386,-0.038144514,-0.021173775,-0.058628876
306184.369246251,0,0.00025063753,-0.00968498,-0.00208807,-0.025618691,-0.0018582795,-0.05157033
306184.389246251,20000000,0.00060385466,-0.008403674,-0.0016494393,-0.022200625,-0.0002078875,-0.044851094
306184.409246251,0,0.00041380525,-0.009533018,0.0033791065,-0.0050279466,0.00088088587,-0.03637728
306184.429246251,0,-0.0018440485,-0.009341806,0.005820453,0.0031364183,-0.007390012,-0.035519015
306184.449246251,20000000,-0.0041020215,-0.009150654,0.008261681,0.011300784,-0.01566091,-0.03466075
306184.469246251,0,-0.0105133355,-0.0038702488,0.012427688,0.013980665,-0.044681758,-0.012927629
306184.489246251,0,-0.006454408,-0.0069153756,0.0040323734,0.004701159,-0.048161335,-0.007978248
306184.509246251,0,-0.007909298,-0.008222699,0.004803717,0.0018805966,-0.04695089,-0.009758188
306184.529246251,20000000,-0.009364039,-0.009530023,0.005574882,-0.0009399655,-0.045740448,-0.011538127
306184.549246251,40000000,-0.01081869,-0.010837257,0.0063458085,-0.0037605278,-0.044530004,-0.013318067
306184.569246251,60000000,-0.012273252,-0.012144446,0.007116556,-0.00658109,-0.04331956,-0.015098007
306184.589246251,80000000,-0.013727695,-0.013451636,0.007886946,-0.009401652,-0.04210912,-0.016877947
306184.609246251,0,-0.007470578,-0.02014026,0.008146644,0.039525487,-0.11441789,-0.07976118
306184.629246251,0,-0.0012276471,-0.017509043,0.0041595697,0.043966733,-0.096704826,-0.08263531
306184.649246251,0,-0.0014561415,-0.0031551272,0.0008624196,0.049502842,-0.07886987,-0.098407835
306184.669246251,20000000,-0.0034792721,-0.0024822205,0.0023085475,0.053793557,-0.07937661,-0.09324836
306184.689246251,0,-0.00097066164,-0.002218604,-0.0021889806,0.0588908,-0.07504758,-0.08328908
306184.709246251,20000000,0.002417326,0.008093551,-0.009266198,0.055555243,-0.06266087,-0.07529922
306184.729246251,0,-0.00017866492,0.0009519607,-0.0036010742,0.054150347,-0.0437584,-0.062242895
306184.749246251,20000000,-0.0027750432,-0.006189391,0.002063632,0.052745454,-0.024855928,-0.04918657
306184.769246251,0,-0.004362166,-0.00763309,0.0032985806,0.05305345,-0.024187228,-0.044944778
306184.789246251,20000000,-0.0070943832,-0.0035370588,0.0046373606,0.041877158,-0.03682153,-0.047652856
306184.809246251,0,-0.005026251,-0.0035884082,0.0043765306,0.02354597,-0.036550123,-0.07505502
306184.829246251,20000000,-0.0029571056,-0.0036391616,0.004115522,0.0052147806,-0.036278717,-0.10245717
306184.849246251,40000000,-0.0008869469,-0.003689289,0.0038542747,-0.013116408,-0.03600731,-0.12985933
306184.869246251,0,-0.0028817952,-0.0032091737,0.005032778,-0.017916933,-0.04137967,-0.1404738
306184.889246251,20000000,-0.0048748553,-0.00272879,0.0062110424,-0.02271746,-0.046752036,-0.15108827
306184.909246251,0,0.0021184087,-0.0044045597,0.003420055,-0.011312607,-0.049077824,-0.15824799
306184.929246251,0,0.008186549,-0.006760195,0.0027958155,0.006411333,-0.05647203,-0.16718157
306184.949246251,20000000,0.011835128,-0.005755335,0.0020253658,0.012319231,-0.0628725,-0.17705372
306184.969246252,0,0.0153512955,-0.0077887475,0.0017204285,0.02524367,-0.06068763,-0.17704237
306184.989246252,20000000,0.018868804,-0.009821549,0.0014154911,0.03816811,-0.058502764,-0.17703103
306185.009246252,0,0.017903268,-0.0011771023,0.0056572556,0.07896666,-0.0598261,-0.14817709
306185.029246252,20000000,0.020683944,0.0046001524,0.009860218,0.13778399,-0.059370983,-0.07645559
306185.049246252,0,0.023065954,0.0132115185,0.008953214,0.1352469,-0.058317546,-0.038488835
306185.069246252,0,0.020023316,0.026446506,0.0016284585,0.11104043,-0.056474328,0.058794033
306185.089246252,20000000,0.012253374,0.008540139,0.012155473,0.112239644,-0.037476406,0.10625452
306185.109246252,0,0.0059531033,0.010065615,0.011045933,0.09112234,-0.0417579,0.1542117
306185.129246252,20000000,-0.00034198165,0.011588901,0.009933472,0.07000503,-0.046039395,0.20216888
306185.149246252,40000000,-0.008577079,0.0064745992,0.0056501627,0.035369825,-0.07144236,0.2723124
306185.169246252,0,-0.008367211,-0.0067448765,0.0039782524,0.040122908,-0.06323388,0.26238835
306185.189246252,20000000,-0.008147359,-0.019971982,0.0023038387,0.044875994,-0.055025406,0.2524643
306185.209246252,0,-0.018755287,-0.017599896,-0.0018202662,0.03858565,-0.033283215,0.23575394
306185.229246252,20000000,-0.024092585,-0.019644901,-0.001312077,0.03840235,-0.03132298,0.24604224
306185.249246252,40000000,-0.029427648,-0.021691263,-0.0008042455,0.038219046,-0.029362742,0.25633052
306185.269246252,0,-0.028246284,-0.025378317,-0.007405579,0.021628384,-0.022229303,0.24694686
306185.288391042,0,-0.0071514025,-0.041272126,-0.014426726,0.024011638,0.0165277,0.16094328
306185.308391042,20000000,0.0058047473,-0.028547943,-0.016519368,0.033987317,0.055497043,0.057955533
306185.328391042,0,0.00503394,-0.022491947,-0.010656536,0.04588145,0.075353354,0.015756588
306185.348391042,20000000,0.0042641163,-0.0164361,-0.004795015,0.057775583,0.09520966,-0.026442356
306185.368391042,0,0.0007170737,-0.013492554,0.0007318258,0.06819592,0.098901615,-0.03100364
306185.388391042,0,-0.0026519,-0.009586677,0.0051630735,0.079505324,0.081158265,-0.024408858
306185.408391042,0,0.0023744106,-0.009030491,0.00401634,0.06842266,0.08395065,-0.03846651
306185.428391042,20000000,0.0074010193,-0.008475497,0.0028678179,0.057339996,0.08674304,-0.05252416
306185.448391042,40000000,0.012427926,-0.007921666,0.0017175674,0.046257332,0.08953543,-0.066581815
