timestamp,user_accel_x,user_accel_y,user_accel_z,rotation_rate_x,rotation_rate_y,rotation_rate_z,attitude_roll,attitude_pitch,attitude_yaw
0.0,0.0012080667074769735,-0.009871866554021835,0.004175532143563032,0.056051839143037796,0.040900472551584244,0.06951769441366196,0.5038350889912058,-0.19938506269261572,0.051478153544811625
0.009947061538696289,0.00032320115133188665,0.000621020095422864,-0.000680844415910542,0.013331484980881214,-7.340346928685904e-05,-0.004944192245602608,0.490190936858288,-0.2229881586918411,0.055992345550053425
0.010051965713500977,0.0012080667074769735,-0.009871866554021835,0.004175532143563032,0.056051839143037796,0.040900472551584244,0.06951769441366196,0.5038350889912058,-0.19938506269261572,0.051478153544811625
0.019933223724365234,0.00032320115133188665,0.000621020095422864,-0.000680844415910542,0.013331484980881214,-7.340346928685904e-05,-0.004944192245602608,0.490190936858288,-0.2229881586918411,0.055992345550053425
0.020020246505737305,0.0016487245447933674,-0.012209413573145866,0.009256175719201565,0.18952877819538116,0.06752756237983704,0.20759350061416626,0.5529808803548298,-0.03934105196978868,0.011164678938380785
0.02002120018005371,0.0012080667074769735,-0.009871866554021835,0.004175532143563032,0.056051839143037796,0.040900472551584244,0.06951769441366196,0.5038350889912058,-0.19938506269261572,0.051478153544811625
0.029932260513305664,0.00032320115133188665,0.000621020095422864,-0.000680844415910542,0.013331484980881214,-7.340346928685904e-05,-0.004944192245602608,0.490190936858288,-0.2229881586918411,0.055992345550053425
0.030009031295776367,0.0012080667074769735,-0.009871866554021835,0.004175532143563032,0.056051839143037796,0.040900472551584244,0.06951769441366196,0.5038350889912058,-0.19938506269261572,0.051478153544811625
0.030086278915405273,0.0016487245447933674,-0.012209413573145866,0.009256175719201565,0.18952877819538116,0.06752756237983704,0.20759350061416626,0.5529808803548298,-0.03934105196978868,0.011164678938380785
0.03933119773864746,0.0012080667074769735,-0.009871866554021835,0.004175532143563032,0.056051839143037796,0.040900472551584244,0.06951769441366196,0.5038350889912058,-0.19938506269261572,0.051478153544811625
