frame,t_rel,t_abs,mar,delta_mar,mar_bp,nose_lip_dist,delta_nose_lip_dist,chin_lip_dist,delta_chin_lip_dist,valid
67,2.233414,,0.388739,-0.041155,0.170858,135.325043,2.808289,153.201904,1.928543,1
68,2.266748,,0.232181,-0.156558,0.106250,125.588676,-9.736366,155.784012,2.582108,1
69,2.300083,,0.114225,-0.117955,0.035787,116.509331,-9.079346,154.264145,-1.519867,1
70,2.333417,,0.066267,-0.047959,-0.028190,114.685989,-1.823341,150.794800,-3.469345,1
71,2.366752,,0.042036,-0.024231,-0.076767,109.111534,-5.574455,152.238815,1.444016,1
72,2.400086,,0.035718,-0.006318,-0.105879,108.673317,-0.438217,152.762573,0.523758,1
73,2.433421,,0.039023,0.003305,-0.115976,110.702194,2.028877,151.525620,-1.236954,1
74,2.466756,,0.032612,-0.006411,-0.112428,108.966278,-1.735916,149.816772,-1.708847,1
75,2.500090,,0.030446,-0.002165,-0.101593,107.225548,-1.740730,151.552048,1.735275,1
76,2.533425,,0.024631,-0.005815,-0.089518,106.252701,-0.972847,150.543671,-1.008377,1
77,2.566759,,0.016653,-0.007978,-0.080344,104.759270,-1.493431,148.098526,-2.445145,1
78,2.600094,,0.015479,-0.001174,-0.075568,102.562813,-2.196457,146.220947,-1.877579,1
79,2.633428,,0.011623,-0.003856,-0.074498,99.657692,-2.905121,145.197281,-1.023666,1
80,2.666763,,0.016626,0.005002,-0.074713,99.170876,-0.486816,143.813507,-1.383774,1
81,2.700097,,0.018566,0.001940,-0.073479,98.118874,-1.052002,144.637634,0.824127,1
82,2.733432,,0.023414,0.004848,-0.068341,96.930695,-1.188179,145.740662,1.103027,1
83,2.766766,,0.020850,-0.002564,-0.058201,92.780228,-4.150467,144.796066,-0.944595,1
84,2.800101,,0.018896,-0.001954,-0.043280,93.328430,0.548203,145.715637,0.919571,1
85,2.833435,,0.031055,0.012159,-0.025087,92.842270,-0.486160,143.900543,-1.815094,1
86,2.866770,,0.050254,0.019199,-0.006257,94.076324,1.234055,139.793777,-4.106766,1
87,2.900104,,0.079630,0.029376,0.010473,103.290817,9.214493,143.123566,3.329788,1
88,2.933439,,0.088680,0.009050,0.022659,111.448898,8.158081,141.150146,-1.973419,1
89,2.966774,,0.088157,-0.000524,0.029187,116.368607,4.919708,141.376099,0.225952,1
90,3.000108,,0.068603,-0.019554,0.030101,115.537827,-0.830780,142.154434,0.778336,1
91,3.033443,,0.046531,-0.022071,0.026414,111.634621,-3.903206,141.325226,-0.829208,1
92,3.066777,,0.055315,0.008784,0.020002,114.280396,2.645775,145.662872,4.337646,1
93,3.100112,,0.043615,-0.011700,0.012612,115.795540,1.515144,142.141724,-3.521149,1
94,3.133446,,0.037763,-0.005852,0.005683,115.495949,-0.299591,140.862656,-1.279068,1
95,3.166781,,0.034452,-0.003311,0.000075,116.991875,1.495926,141.637604,0.774948,1
96,3.200115,,0.027388,-0.007064,-0.003865,114.637932,-2.353943,143.454941,1.817337,1
97,3.233450,,0.017686,-0.009703,-0.006105,111.977600,-2.660332,143.917145,0.462204,1
98,3.266784,,0.017471,-0.000215,-0.006920,108.920357,-3.057243,145.615372,1.698227,1
99,3.300119,,0.012325,-0.005145,-0.006621,105.955780,-2.964577,146.418457,0.803085,1
100,3.333453,,0.009876,-0.002449,-0.005556,104.194489,-1.761292,145.876129,-0.542328,1
101,3.366788,,0.008072,-0.001804,-0.004135,102.448799,-1.745689,146.351929,0.475800,1
102,3.400122,,0.011672,0.003600,-0.002713,100.830605,-1.618195,145.879059,-0.472870,1
103,3.433457,,0.015197,0.003525,-0.001534,99.688728,-1.141876,146.432938,0.553879,1
104,3.466792,,0.021847,0.006650,-0.000568,100.095413,0.406685,146.594650,0.161713,1
105,3.500126,,0.025240,0.003393,0.000560,98.812744,-1.282669,145.305695,-1.288956,1
106,3.533461,,0.029470,0.004230,0.002600,98.723190,-0.089554,144.050659,-1.255035,1
107,3.566795,,0.033182,0.003712,0.006378,97.891479,-0.831711,145.066635,1.015976,1
108,3.600130,,0.020898,-0.012284,0.012496,96.726952,-1.164528,144.844330,-0.222305,1
109,3.633464,,0.029296,0.008398,0.020983,97.021271,0.294319,146.053085,1.208755,1
110,3.666799,,0.030103,0.000807,0.030824,96.903374,-0.117897,145.866638,-0.186447,1
111,3.700133,,0.066515,0.036412,0.040273,107.292343,10.388969,144.229797,-1.636841,1
112,3.733468,,0.089796,0.023282,0.047063,113.701332,6.408989,145.211151,0.981354,1
113,3.766802,,0.086808,-0.002989,0.049349,116.934326,3.232994,143.555130,-1.656021,1
114,3.800137,,0.075120,-0.011688,0.046139,116.772362,-0.161964,143.258545,-0.296585,1
115,3.833471,,0.061436,-0.013684,0.037529,116.880287,0.107925,145.596130,2.337585,1
116,3.866806,,0.048579,-0.012858,0.025083,116.181816,-0.698471,144.319809,-1.276321,1
117,3.900140,,0.034541,-0.014037,0.010895,116.386665,0.204849,143.985580,-0.334229,1
