timestamp,dtNs,ax,ay,az,gx,gy,gz,label
204237.172010958,0,-0.042823434,0.13281596,-0.0686031,0.55588037,-0.20331655,0.16029094,false
204237.192010958,0,-0.043913603,0.14539021,-0.053888798,0.6957595,-0.27944574,0.17677104,false
204237.212010957,19999999,-0.037272453,0.14499897,-0.037483633,0.7451329,-0.28056973,0.1682512,false
204237.232010958,0,-0.045827985,0.13043195,-0.031665385,0.7793672,-0.304191,0.19440164,false
204237.252010958,0,-0.059601307,0.103513956,-0.00057315826,0.8700277,-0.34141836,0.22668882,false
204237.272010958,0,-0.0590221,0.09854531,0.02646619,0.88572556,-0.3425908,0.21082173,false
204237.292010957,19999999,-0.058346152,0.093678564,0.053259075,0.9014234,-0.34376326,0.19495463,false
204237.312010957,39999999,-0.05757466,0.08890909,0.07980317,0.9171213,-0.34493575,0.17908755,false
204237.332010958,0,-0.050634354,0.087542444,0.09019041,0.92796695,-0.34059194,0.15514597,false
204237.352010958,0,-0.009708136,0.03762746,0.077766,0.94339085,-0.28010505,0.044042505,false
204237.372010958,0,-0.0037868023,0.010773301,0.059854448,0.9216509,-0.24918516,-0.00027385727,false
204237.392010958,0,-0.004464686,-0.03142816,0.0336926,0.8674697,-0.23930295,0.01267576,false
204237.412010957,19999999,-0.008282155,-0.036673725,0.030718088,0.8459945,-0.26241893,0.049386762,false
204237.432010958,0,0.0017578006,-0.02558899,0.06288612,0.8260895,-0.22935875,0.04302194,false
204237.452010958,0,-0.009425998,-0.03346318,0.058722556,0.8264482,-0.22705376,0.06855756,false
204237.472010958,0,-0.020590335,-0.041316032,0.054507196,0.82680696,-0.22474876,0.09409319,false
204237.492010958,0,-0.013802737,-0.011440575,0.07996237,0.8719515,-0.23254615,0.14699621,false
204237.512010957,19999999,0.0002744794,0.0023654997,0.0823673,0.88008326,-0.20573726,0.11849019,false
204237.532010958,0,0.007255584,-0.007782787,0.0692395,0.9398755,-0.098077044,0.098494254,false
204237.552010957,19999999,-0.013870209,-0.027614057,0.03152007,0.9643155,-0.09721257,0.17463067,false
204237.572010958,0,-0.019482225,-0.04154271,0.037166476,1.0566514,-0.10612069,0.30108613,false
204237.592010957,19999999,-0.024987787,-0.055397004,0.04266286,1.1489873,-0.11502881,0.4275416,false
204237.612010957,39999999,-0.030387104,-0.06918031,0.048007727,1.2413231,-0.12393693,0.55399704,false
204237.632010958,0,-0.029615492,-0.07542473,0.052388847,1.3046389,-0.090604275,0.61048096,false
