timestamp,movTimestamp,frameIndex,frameTimestamp,isLabelled,isEating,mouthState,isTalking,primaryBodyState,bodyAction,otherLabels,gravityX,gravityY,gravityZ,transformedRotationX,transformedRotationY,transformedRotationZ,transformedRotationW,rotationRateX,rotationRateY,rotationRateZ,userAccelerationX,userAccelerationY,userAccelerationZ,attitudeRoll,attitudePitch,attitudeYaw
746438898.61643,0.0,0,,,,,,,,,-0.4953054189682007,-0.22146061062812805,-0.8400165438652039,-0.9999995231628418,-0.00016292317013721913,0.0009214702877216041,0.9999999403953552,0.0008133780211210251,-0.0002755057066679001,-0.012174081057310104,0.004047274589538574,-0.007525458931922913,-0.0029505491256713867,-0.5327653366494357,0.2233120275187651,0.1213957420580254
746438898.616609,0.00017893314361572266,0,,,,,,,,,-0.49487367272377014,-0.22265326976776123,-0.8399556875228882,0.0,0.0,0.0,0.0,0.06191933900117874,0.015876997262239456,-0.023918351158499718,0.008076131343841553,-0.03253430128097534,0.006078064441680908,-0.5324155282712013,0.22453522126810724,0.12124980669366459
746438898.617269,0.0008389949798583984,0,,,,,,,,,-0.49466508626937866,-0.2255207598209381,-0.839313268661499,0.0,0.0,0.0,0.0,0.07430223375558853,-0.00688798725605011,0.015930866822600365,-0.003333449363708496,-0.013629496097564697,-0.0022848844528198242,-0.5325657907627889,0.227477550324184,0.1228595875379988
746438898.617616,0.0011860132217407227,0,,,,,,,,,-0.49564462900161743,-0.2269054502248764,-0.8383617401123047,0.0,0.0,0.0,0.0,0.007410787045955658,-0.047357603907585144,0.01644899509847164,-0.004541158676147461,0.006305232644081116,0.0037488937377929688,-0.5339283773721781,0.22889908063194334,0.12437228855602368
746438898.617927,0.0014969110488891602,0,,,,,,,,,-0.49731963872909546,-0.22724448144435883,-0.8372772336006165,0.0,0.0,0.0,0.0,-0.02007497474551201,-0.05863368883728981,-0.009684674441814423,-0.008992940187454224,0.008548974990844727,0.012479186058044434,-0.5359757287612282,0.22924720086250477,0.12421453141100883
746438898.618227,0.0017969608306884766,0,,,,,,,,,-0.49922725558280945,-0.22636593878269196,-0.8363794684410095,0.0,0.0,0.0,0.0,-0.04291418939828873,-0.05099712312221527,0.0006347000598907471,-0.011958390474319458,0.015451222658157349,0.014050304889678955,-0.5381302256889593,0.22834515982167414,0.12339624799400642
746438898.618526,0.002095937728881836,0,,,,,,,,,-0.5006810426712036,-0.22428859770298004,-0.8360700011253357,0.0,0.0,0.0,0.0,-0.062362849712371826,-0.01849241927266121,0.003250471316277981,-0.004197180271148682,0.023054584860801697,0.009241640567779541,-0.5395739226447999,0.2262129861906357,0.12253270374121536
746438898.618839,0.0024089813232421875,0,,,,,,,,,-0.5008715987205505,-0.2223202884197235,-0.836481511592865,0.0,0.0,0.0,0.0,-0.05848763883113861,0.006495209410786629,-0.028826136142015457,-0.006838798522949219,0.022426888346672058,-0.0031644701957702637,-0.5395247609710179,0.22419367903478524,0.12073653606081972
746438898.619146,0.0027159452438354492,0,,,,,,,,,-0.5007296800613403,-0.22071775794029236,-0.8369906544685364,0.0,0.0,0.0,0.0,-0.0498354509472847,0.005913890898227692,-0.0374382846057415,-0.0037924647331237793,0.019813284277915955,-0.010319769382476807,-0.5391317680192118,0.22255032853392978,0.11846093980047741
746438898.650482,0.03405201435089111,1,,,,,,,,,-0.5002473592758179,-0.21947242319583893,-0.8376063704490662,0.0,0.0,0.0,0.0,-0.028570611029863358,0.018616389483213425,-0.03183022141456604,0.006434768438339233,0.014013558626174927,-0.011498212814331055,-0.538383537528643,0.22127368946135048,0.11638082373800235
