frame,timestamp,anchor_to_bottom_lip_bottom,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
85,2.8335180356366796,66.38724588851562,Open,Closed,Closed,Closed,Closed
86,2.8668535419382875,62.424533159907895,Open,Closed,Closed,Closed,Closed
87,2.900189048239896,57.8043157072779,Closed,Closed,Closed,Closed,Closed
88,2.9335245545415036,59.84986434056769,Open,Closed,Closed,Closed,Closed
89,2.9668600608431115,54.509969601946494,Closed,Closed,Closed,Closed,Closed
90,3.0001955671447194,54.83508972882477,Closed,Closed,Closed,Closed,Closed
91,3.0335310734463277,55.03537980451268,Closed,Closed,Closed,Closed,Closed
92,3.0668665797479355,53.33625253521272,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,54.92353863930592,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,56.85245609937928,Closed,Closed,Closed,Closed,Closed
95,3.1668730986527596,60.51097084216011,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,65.32976006659749,Open,Closed,Closed,Closed,Closed
97,3.2335441112559757,69.21984248490742,Open,Open,Closed,Closed,Closed
98,3.2668796175575836,65.3640105166998,Open,Closed,Closed,Closed,Closed
99,3.3002151238591915,65.56494636528049,Open,Closed,Closed,Closed,Closed
100,3.3335506301607993,66.8006119551033,Open,Closed,Closed,Closed,Closed
101,3.3668861364624076,65.81466089635543,Open,Closed,Closed,Closed,Closed
102,3.4002216427640155,67.68305923427332,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,62.86109866849782,Open,Closed,Closed,Closed,Closed
104,3.4668926553672317,61.14389905806557,Open,Closed,Closed,Closed,Closed
105,3.5002281616688395,57.584889255138705,Closed,Closed,Closed,Closed,Closed
106,3.5335636679704474,60.279984195988355,Open,Closed,Closed,Closed,Closed
107,3.5668991742720553,60.37579567027704,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,60.35651830355367,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,61.0674293493189,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,55.808767335211016,Closed,Closed,Closed,Closed,Closed
111,3.700241199478488,64.33971126573846,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,65.95855932747011,Open,Closed,Closed,Closed,Closed
113,3.7669122120817033,64.26170615377343,Open,Closed,Closed,Closed,Closed
114,3.800247718383312,63.239343401915264,Open,Closed,Closed,Closed,Closed
115,3.833583224684919,71.8584451605966,Open,Open,Closed,Closed,Closed
116,3.8669187309865274,66.99571122082862,Open,Closed,Closed,Closed,Closed
117,3.9002542372881353,66.32510886165174,Open,Closed,Closed,Closed,Closed
118,3.933589743589744,70.97419190415778,Open,Open,Closed,Closed,Closed
119,3.966925249891351,69.37896870233998,Open,Open,Closed,Closed,Closed
120,4.00026075619296,74.42071472581685,Open,Open,Closed,Closed,Closed
121,4.033596262494568,64.43531939973381,Open,Closed,Closed,Closed,Closed
122,4.0669317687961755,61.249109589802046,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,66.30247017678701,Open,Closed,Closed,Closed,Closed
124,4.133602781399391,64.07932107452775,Open,Closed,Closed,Closed,Closed
125,4.166938287700999,62.11840643923978,Open,Closed,Closed,Closed,Closed
126,4.200273794002608,60.56921348741197,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,61.56869787910136,Open,Closed,Closed,Closed,Closed
128,4.2669448066058235,62.249993921728006,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,56.28651450602724,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,62.0296461204668,Open,Closed,Closed,Closed,Closed
131,4.366951325510647,64.92921387432497,Open,Closed,Closed,Closed,Closed
132,4.400286831812255,70.27106258278997,Open,Open,Closed,Closed,Closed
133,4.433622338113864,72.4231956771745,Open,Open,Closed,Closed,Closed
134,4.466957844415472,72.68498589458518,Open,Open,Closed,Closed,Closed
135,4.5002933507170795,79.85011091652228,Open,Open,Open,Closed,Closed
136,4.533628857018687,78.04911403983866,Open,Open,Open,Closed,Closed
137,4.566964363320295,79.27248607638568,Open,Open,Open,Closed,Closed
138,4.600299869621903,77.06844384527739,Open,Open,Open,Closed,Closed
139,4.633635375923511,68.07370747643853,Open,Open,Closed,Closed,Closed
140,4.66697088222512,77.98862093779724,Open,Open,Open,Closed,Closed
141,4.700306388526728,67.81612632719822,Open,Open,Closed,Closed,Closed
142,4.733641894828335,63.6261148090977,Open,Closed,Closed,Closed,Closed
143,4.766977401129943,61.868399756998976,Open,Closed,Closed,Closed,Closed
144,4.800312907431551,58.076396638495055,Open,Closed,Closed,Closed,Closed
145,4.833648413733159,59.80907385364272,Open,Closed,Closed,Closed,Closed
146,4.866983920034767,65.61591672034125,Open,Closed,Closed,Closed,Closed
147,4.900319426336376,64.2281889230922,Open,Closed,Closed,Closed,Closed
148,4.9336549326379835,60.6733535157702,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,62.434373235928454,Open,Closed,Closed,Closed,Closed
150,5.000325945241199,65.72411948312629,Open,Closed,Closed,Closed,Closed
151,5.033661451542807,68.8836289988158,Open,Open,Closed,Closed,Closed
152,5.066996957844415,74.06593378795318,Open,Open,Closed,Closed,Closed
153,5.100332464146024,71.76682198923211,Open,Open,Closed,Closed,Closed
154,5.133667970447632,79.3331551879086,Open,Open,Open,Closed,Closed
155,5.167003476749239,74.70819363578563,Open,Open,Closed,Closed,Closed
156,5.200338983050847,73.26110317340417,Open,Open,Closed,Closed,Closed
157,5.233674489352455,69.74594734305532,Open,Open,Closed,Closed,Closed
158,5.267009995654063,62.499812580144265,Open,Closed,Closed,Closed,Closed
159,5.300345501955671,64.52051553266516,Open,Closed,Closed,Closed,Closed
160,5.33368100825728,60.258105556714014,Open,Closed,Closed,Closed,Closed
161,5.3670165145588875,61.11418894223413,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,58.435363353267824,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,58.43570303466509,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,55.86472728331903,Closed,Closed,Closed,Closed,Closed
165,5.500358539765319,59.25443156524221,Open,Closed,Closed,Closed,Closed
166,5.533694046066927,56.83466334227508,Closed,Closed,Closed,Closed,Closed
167,5.567029552368536,56.87757126617553,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,60.36980705205381,Open,Closed,Closed,Closed,Closed
169,5.633700564971751,64.57235659637806,Open,Closed,Closed,Closed,Closed
170,5.667036071273359,70.03408207143461,Open,Open,Closed,Closed,Closed
171,5.700371577574967,70.95329942194515,Open,Open,Closed,Closed,Closed
172,5.733707083876575,68.03065069538604,Open,Open,Closed,Closed,Closed
173,5.767042590178183,69.3655247885294,Open,Open,Closed,Closed,Closed
