frame,timestamp,anchor_to_bottom_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
86,2.8668535419382875,60.34091723557704,Open,Open,Closed,Closed,Closed
87,2.900189048239896,56.12900196296688,Open,Closed,Closed,Closed,Closed
88,2.9335245545415036,56.207279583013126,Open,Closed,Closed,Closed,Closed
89,2.9668600608431115,52.55545112988243,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,50.58790571898173,Closed,Closed,Closed,Closed,Closed
91,3.0335310734463277,50.863764405269734,Closed,Closed,Closed,Closed,Closed
92,3.0668665797479355,48.03664999157251,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,49.704868603359465,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,51.76724951374176,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,54.28873278056989,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,58.56545199934678,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,63.68918509742952,Open,Open,Open,Closed,Closed
98,3.2668796175575836,60.16864338393772,Open,Open,Closed,Closed,Closed
99,3.3002151238591915,58.192819747076,Open,Open,Closed,Closed,Closed
100,3.3335506301607993,58.66029286253277,Open,Open,Closed,Closed,Closed
101,3.3668861364624076,60.63318186755755,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,61.21086955907263,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,57.0049014897137,Open,Open,Closed,Closed,Closed
104,3.4668926553672317,55.567757630849115,Open,Closed,Closed,Closed,Closed
105,3.5002281616688395,55.54186246930492,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,56.94497437344499,Open,Closed,Closed,Closed,Closed
107,3.5668991742720553,52.22619216662315,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,53.14031735997639,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,56.22934383105171,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,52.653364567398654,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,57.443870222426,Open,Open,Closed,Closed,Closed
112,3.733576705780095,55.85634621469955,Open,Closed,Closed,Closed,Closed
113,3.7669122120817033,58.15876237112008,Open,Open,Closed,Closed,Closed
114,3.800247718383312,60.55305403858851,Open,Open,Closed,Closed,Closed
115,3.833583224684919,63.672958521774504,Open,Open,Open,Closed,Closed
116,3.8669187309865274,60.23827384150137,Open,Open,Closed,Closed,Closed
117,3.9002542372881353,60.5565566157177,Open,Open,Closed,Closed,Closed
118,3.933589743589744,63.38570282636823,Open,Open,Open,Closed,Closed
119,3.966925249891351,61.05477097254057,Open,Open,Closed,Closed,Closed
120,4.00026075619296,66.89037607710351,Open,Open,Open,Closed,Closed
121,4.033596262494568,58.094194089163906,Open,Open,Closed,Closed,Closed
122,4.0669317687961755,56.53586102503246,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,61.189896433509205,Open,Open,Closed,Closed,Closed
124,4.133602781399391,58.77933286231632,Open,Open,Closed,Closed,Closed
125,4.166938287700999,57.45906043549196,Open,Open,Closed,Closed,Closed
126,4.200273794002608,54.33514010076044,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,54.96284333628453,Open,Closed,Closed,Closed,Closed
128,4.2669448066058235,55.105386383667735,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,50.42206544686248,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,53.955264598854185,Open,Closed,Closed,Closed,Closed
131,4.366951325510647,56.5952988140875,Open,Closed,Closed,Closed,Closed
132,4.400286831812255,62.734255586866,Open,Open,Open,Closed,Closed
133,4.433622338113864,63.98652498169338,Open,Open,Open,Closed,Closed
134,4.466957844415472,66.3558308545498,Open,Open,Open,Closed,Closed
135,4.5002933507170795,72.15634076752546,Open,Open,Open,Open,Closed
136,4.533628857018687,70.50709505296162,Open,Open,Open,Open,Closed
137,4.566964363320295,71.48700589982124,Open,Open,Open,Open,Closed
138,4.600299869621903,69.33443232672366,Open,Open,Open,Open,Closed
139,4.633635375923511,60.301320227981286,Open,Open,Closed,Closed,Closed
140,4.66697088222512,68.70527518426631,Open,Open,Open,Open,Closed
141,4.700306388526728,62.62886198617611,Open,Open,Closed,Closed,Closed
142,4.733641894828335,60.879360111431225,Open,Open,Closed,Closed,Closed
143,4.766977401129943,60.27648219273432,Open,Open,Closed,Closed,Closed
144,4.800312907431551,58.43430433290882,Open,Open,Closed,Closed,Closed
145,4.833648413733159,57.549374662580384,Open,Open,Closed,Closed,Closed
146,4.866983920034767,58.86568055487916,Open,Open,Closed,Closed,Closed
147,4.900319426336376,56.29750867395035,Open,Closed,Closed,Closed,Closed
148,4.9336549326379835,53.84252069893988,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,54.71358863971014,Open,Closed,Closed,Closed,Closed
150,5.000325945241199,58.78726681287735,Open,Open,Closed,Closed,Closed
151,5.033661451542807,61.20661728930949,Open,Open,Closed,Closed,Closed
152,5.066996957844415,68.23048222521356,Open,Open,Open,Closed,Closed
153,5.100332464146024,64.11629006346593,Open,Open,Open,Closed,Closed
154,5.133667970447632,69.73353483334517,Open,Open,Open,Open,Closed
155,5.167003476749239,66.46209944769902,Open,Open,Open,Closed,Closed
156,5.200338983050847,64.37715730735297,Open,Open,Open,Closed,Closed
157,5.233674489352455,62.97331427544773,Open,Open,Open,Closed,Closed
158,5.267009995654063,54.609945159466776,Open,Closed,Closed,Closed,Closed
159,5.300345501955671,60.0,Open,Open,Closed,Closed,Closed
160,5.33368100825728,55.50531854708632,Open,Closed,Closed,Closed,Closed
161,5.3670165145588875,54.69240793674726,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,55.02051839034827,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,54.983734325305406,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,53.661068515765464,Open,Closed,Closed,Closed,Closed
165,5.500358539765319,51.61418578992169,Open,Closed,Closed,Closed,Closed
166,5.533694046066927,52.31050248760287,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,49.927877939124315,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,52.652150006365474,Open,Closed,Closed,Closed,Closed
169,5.633700564971751,56.08967680442663,Open,Closed,Closed,Closed,Closed
170,5.667036071273359,62.904103923819434,Open,Open,Open,Closed,Closed
171,5.700371577574967,63.17371419637551,Open,Open,Open,Closed,Closed
172,5.733707083876575,62.393608223109254,Open,Open,Closed,Closed,Closed
173,5.767042590178183,64.28070250532866,Open,Open,Open,Closed,Closed
174,5.8003780964797915,65.43772684055045,Open,Open,Open,Closed,Closed
175,5.833713602781399,62.70997282202261,Open,Open,Open,Closed,Closed
176,5.867049109083007,61.53407331831786,Open,Open,Closed,Closed,Closed
177,5.900384615384615,59.10378379584392,Open,Open,Closed,Closed,Closed
178,5.933720121686223,58.55988162247417,Open,Open,Closed,Closed,Closed
179,5.967055627987831,61.750841701284784,Open,Open,Closed,Closed,Closed
180,6.000391134289439,65.28403189950755,Open,Open,Open,Closed,Closed
181,6.0337266405910475,54.19357276029949,Open,Closed,Closed,Closed,Closed
182,6.067062146892655,55.985200225527066,Open,Closed,Closed,Closed,Closed
183,6.100397653194263,57.67376045701318,Open,Open,Closed,Closed,Closed
184,6.133733159495871,59.98732135750018,Open,Open,Closed,Closed,Closed
185,6.167068665797479,56.13199474923722,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,53.16744416857541,Open,Closed,Closed,Closed,Closed
187,6.2337396784006955,60.109759058979435,Open,Open,Closed,Closed,Closed
188,6.267075184702303,61.2062906395141,Open,Open,Closed,Closed,Closed
189,6.300410691003911,62.49509756796392,Open,Open,Closed,Closed,Closed
190,6.333746197305519,66.28437297730106,Open,Open,Open,Closed,Closed
191,6.367081703607127,63.046979734040455,Open,Open,Open,Closed,Closed
192,6.400417209908735,69.94550115074252,Open,Open,Open,Open,Closed
193,6.433752716210343,68.49335574285075,Open,Open,Open,Open,Closed
194,6.4670882225119515,65.42283744843087,Open,Open,Open,Closed,Closed
195,6.500423728813559,64.74477419390796,Open,Open,Open,Closed,Closed
196,6.533759235115167,62.11069252768005,Open,Open,Closed,Closed,Closed
197,6.567094741416775,60.65250907288197,Open,Open,Closed,Closed,Closed
198,6.600430247718383,56.39348920495567,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,59.63437740308565,Open,Open,Closed,Closed,Closed
200,6.667101260321599,57.05253741507083,Open,Open,Closed,Closed,Closed
201,6.700436766623207,56.13406011768428,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,55.063346671869354,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,55.29650127928503,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,52.991934434623474,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,59.25150964410297,Open,Open,Closed,Closed,Closed
206,6.867114298131247,62.233161047721026,Open,Open,Closed,Closed,Closed
207,6.900449804432855,64.65760319849979,Open,Open,Open,Closed,Closed
208,6.933785310734463,64.28444100405304,Open,Open,Open,Closed,Closed
209,6.967120817036071,69.02188457179645,Open,Open,Open,Open,Closed
210,7.000456323337679,66.1074090546258,Open,Open,Open,Closed,Closed
211,7.033791829639287,67.41220863113608,Open,Open,Open,Closed,Closed
212,7.067127335940895,62.860436027106715,Open,Open,Open,Closed,Closed
213,7.100462842242503,60.384904217394535,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,56.23451924468981,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,54.02221125911042,Open,Closed,Closed,Closed,Closed
216,7.200469361147327,57.61557042488157,Open,Open,Closed,Closed,Closed
217,7.233804867448935,56.29305233869911,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,51.73100828980965,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,52.29043492200526,Open,Closed,Closed,Closed,Closed
220,7.333811386353759,50.12283388459399,Closed,Closed,Closed,Closed,Closed
221,7.367146892655367,52.07258651339048,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,51.06322529260444,Closed,Closed,Closed,Closed,Closed
223,7.433817905258583,52.53850322977197,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,55.40711892105118,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,60.04722404767588,Open,Open,Closed,Closed,Closed
226,7.533824424163407,62.90074670163971,Open,Open,Open,Closed,Closed
227,7.567159930465015,70.16771579779356,Open,Open,Open,Open,Closed
228,7.600495436766623,67.00347205478938,Open,Open,Open,Closed,Closed
229,7.633830943068231,69.38353314466542,Open,Open,Open,Open,Closed
230,7.667166449369839,69.21894447213512,Open,Open,Open,Open,Closed
231,7.700501955671447,65.23965475583685,Open,Open,Open,Closed,Closed
232,7.733837461973055,67.71852393547431,Open,Open,Open,Closed,Closed
233,7.767172968274663,64.73907901574808,Open,Open,Open,Closed,Closed
234,7.8005084745762705,64.3773803133976,Open,Open,Open,Closed,Closed
235,7.833843980877879,61.166883522748016,Open,Open,Closed,Closed,Closed
236,7.867179487179487,60.640849416185674,Open,Open,Closed,Closed,Closed
237,7.900514993481095,61.80589287593181,Open,Open,Closed,Closed,Closed
238,7.933850499782703,60.90529254391454,Open,Open,Closed,Closed,Closed
239,7.967186006084311,57.42521838994051,Open,Open,Closed,Closed,Closed
240,8.00052151238592,57.63747672778463,Open,Open,Closed,Closed,Closed
241,8.033857018687527,57.80014713849522,Open,Open,Closed,Closed,Closed
242,8.067192524989135,60.29124619515294,Open,Open,Closed,Closed,Closed
243,8.100528031290743,58.761446208794936,Open,Open,Closed,Closed,Closed
244,8.133863537592351,59.32309051513633,Open,Open,Closed,Closed,Closed
245,8.167199043893959,59.545345009657744,Open,Open,Closed,Closed,Closed
246,8.200534550195567,61.1311470881183,Open,Open,Closed,Closed,Closed
