frame,timestamp,anchor_to_top_lip_bottom,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
86,2.8668535419382875,66.03225397437947,Open,Open,Closed,Closed,Closed
87,2.900189048239896,60.71056977580453,Open,Closed,Closed,Closed,Closed
88,2.9335245545415036,61.869660230891775,Open,Open,Closed,Closed,Closed
89,2.9668600608431115,58.75148133525897,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,56.577248076675545,Closed,Closed,Closed,Closed,Closed
91,3.0335310734463277,57.91709185619733,Open,Closed,Closed,Closed,Closed
92,3.0668665797479355,55.38004201519104,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,56.801277681309514,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,57.78840568454543,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,59.98988840594896,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,63.303846919805835,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,67.3357486053861,Open,Open,Open,Closed,Closed
98,3.2668796175575836,62.6556157132067,Open,Open,Closed,Closed,Closed
99,3.3002151238591915,59.22711319756189,Open,Closed,Closed,Closed,Closed
100,3.3335506301607993,60.04137722836624,Open,Closed,Closed,Closed,Closed
101,3.3668861364624076,62.82617949639457,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,62.292906881399176,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,57.95941278396049,Open,Closed,Closed,Closed,Closed
104,3.4668926553672317,59.15058881232404,Open,Closed,Closed,Closed,Closed
105,3.5002281616688395,58.44706149065824,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,58.56849770659901,Open,Closed,Closed,Closed,Closed
107,3.5668991742720553,56.56741019441684,Closed,Closed,Closed,Closed,Closed
108,3.6002346805736636,57.81908228064891,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,60.416697162681146,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,58.01418120496133,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,60.75265681355284,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,57.36568999767064,Closed,Closed,Closed,Closed,Closed
113,3.7669122120817033,59.33664008599936,Open,Closed,Closed,Closed,Closed
114,3.800247718383312,61.09977531302631,Open,Closed,Closed,Closed,Closed
115,3.833583224684919,63.70913026950895,Open,Open,Closed,Closed,Closed
116,3.8669187309865274,60.359301824974466,Open,Closed,Closed,Closed,Closed
117,3.9002542372881353,60.93312405909733,Open,Closed,Closed,Closed,Closed
118,3.933589743589744,64.60796077553051,Open,Open,Closed,Closed,Closed
119,3.966925249891351,61.50655982701841,Open,Closed,Closed,Closed,Closed
120,4.00026075619296,67.41001282479063,Open,Open,Open,Closed,Closed
121,4.033596262494568,59.362591986761515,Open,Closed,Closed,Closed,Closed
122,4.0669317687961755,59.21676248660574,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,62.78686643166549,Open,Open,Closed,Closed,Closed
124,4.133602781399391,60.07261155278147,Open,Closed,Closed,Closed,Closed
125,4.166938287700999,58.66397556259332,Open,Closed,Closed,Closed,Closed
126,4.200273794002608,59.39882577438266,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,61.66766457228411,Open,Closed,Closed,Closed,Closed
128,4.2669448066058235,58.39463092237301,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,55.443242643119646,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,58.00491445142276,Open,Closed,Closed,Closed,Closed
131,4.366951325510647,60.3222119281016,Open,Closed,Closed,Closed,Closed
132,4.400286831812255,65.0680340884929,Open,Open,Closed,Closed,Closed
133,4.433622338113864,65.60943790298738,Open,Open,Closed,Closed,Closed
134,4.466957844415472,66.90085592225084,Open,Open,Open,Closed,Closed
135,4.5002933507170795,71.71310991541957,Open,Open,Open,Open,Closed
136,4.533628857018687,71.70640732505183,Open,Open,Open,Open,Closed
137,4.566964363320295,72.35982151511726,Open,Open,Open,Open,Closed
138,4.600299869621903,70.26506450208166,Open,Open,Open,Closed,Closed
139,4.633635375923511,61.09225109398477,Open,Closed,Closed,Closed,Closed
140,4.66697088222512,68.50533345376124,Open,Open,Open,Closed,Closed
141,4.700306388526728,64.97729291072645,Open,Open,Closed,Closed,Closed
142,4.733641894828335,62.616876210459665,Open,Open,Closed,Closed,Closed
143,4.766977401129943,62.36943757316365,Open,Open,Closed,Closed,Closed
144,4.800312907431551,60.386480821197466,Open,Closed,Closed,Closed,Closed
145,4.833648413733159,61.432947421667635,Open,Closed,Closed,Closed,Closed
146,4.866983920034767,61.71994612742644,Open,Closed,Closed,Closed,Closed
147,4.900319426336376,59.92077972904371,Open,Closed,Closed,Closed,Closed
148,4.9336549326379835,57.934414395745634,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,57.38705922806969,Open,Closed,Closed,Closed,Closed
150,5.000325945241199,61.193287874685225,Open,Closed,Closed,Closed,Closed
151,5.033661451542807,61.77773075885615,Open,Open,Closed,Closed,Closed
152,5.066996957844415,68.57646700459404,Open,Open,Open,Closed,Closed
153,5.100332464146024,63.53998211481222,Open,Open,Closed,Closed,Closed
154,5.133667970447632,69.66697725734913,Open,Open,Open,Closed,Closed
