frame,timestamp,aspect_ratio__mouth_width__nose_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
85,2.8335180356366796,0.6741540856987832,Open,Open,Open,Closed,Closed
86,2.8668535419382875,0.65151689776768,Open,Open,Open,Closed,Closed
87,2.900189048239896,0.6255454559823217,Open,Open,Closed,Closed,Closed
88,2.9335245545415036,0.6341349687297497,Open,Open,Closed,Closed,Closed
89,2.9668600608431115,0.5685495464735093,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,0.5855388426409949,Open,Open,Closed,Closed,Closed
91,3.0335310734463277,0.5819261577517334,Open,Open,Closed,Closed,Closed
92,3.0668665797479355,0.5341704049944284,Open,Closed,Closed,Closed,Closed
93,3.1002020860495434,0.5240215418529363,Open,Closed,Closed,Closed,Closed
94,3.1335375923511517,0.5271339734994569,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,0.5543804832509999,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,0.5802395007388187,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,0.657228157794098,Open,Open,Open,Closed,Closed
98,3.2668796175575836,0.6238564169484161,Open,Open,Closed,Closed,Closed
99,3.3002151238591915,0.6573570696485448,Open,Open,Open,Closed,Closed
100,3.3335506301607993,0.6486093242573473,Open,Open,Open,Closed,Closed
101,3.3668861364624076,0.6327343722749825,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,0.6770830054690159,Open,Open,Open,Closed,Closed
103,3.4335571490656234,0.674239643474792,Open,Open,Open,Closed,Closed
104,3.4668926553672317,0.6261240526251765,Open,Open,Closed,Closed,Closed
105,3.5002281616688395,0.5929929580740416,Open,Open,Closed,Closed,Closed
106,3.5335636679704474,0.5884482522430403,Open,Open,Closed,Closed,Closed
107,3.5668991742720553,0.5304682819948419,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,0.5376377453935899,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,0.5638122739603094,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,0.5732851279425033,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,0.5432605479712027,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,0.5806387812058375,Open,Open,Closed,Closed,Closed
113,3.7669122120817033,0.640268377498699,Open,Open,Closed,Closed,Closed
