frame,timestamp,anchor_to_bottom_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
86,2.8668535419382875,83.23893007130371,Open,Closed,Closed,Closed,Closed
87,2.900189048239896,82.51551754409442,Open,Closed,Closed,Closed,Closed
88,2.9335245545415036,80.81759165636652,Open,Closed,Closed,Closed,Closed
89,2.9668600608431115,75.99029511864894,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,74.23536598613765,Closed,Closed,Closed,Closed,Closed
91,3.0335310734463277,73.586299292368,Closed,Closed,Closed,Closed,Closed
92,3.0668665797479355,72.71091073776242,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,73.56799859034828,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,76.05250421058372,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,80.19340853259497,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,84.58433760129336,Open,Closed,Closed,Closed,Closed
97,3.2335441112559757,92.05992861171158,Open,Open,Closed,Closed,Closed
98,3.2668796175575836,88.74307280527316,Open,Open,Closed,Closed,Closed
99,3.3002151238591915,87.84911645189943,Open,Open,Closed,Closed,Closed
100,3.3335506301607993,89.57966597218349,Open,Open,Closed,Closed,Closed
101,3.3668861364624076,87.95377157356533,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,89.78109439378662,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,86.42636505907329,Open,Open,Closed,Closed,Closed
104,3.4668926553672317,85.18249333891868,Open,Open,Closed,Closed,Closed
105,3.5002281616688395,79.14675945334905,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,80.36075872706913,Open,Closed,Closed,Closed,Closed
107,3.5668991742720553,78.49111953913297,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,79.00678449427075,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,81.00204679921134,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,76.41751946732404,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,82.87799933455686,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,86.88720141977399,Open,Open,Closed,Closed,Closed
113,3.7669122120817033,84.69728197665427,Open,Closed,Closed,Closed,Closed
114,3.800247718383312,83.87978520348398,Open,Closed,Closed,Closed,Closed
115,3.833583224684919,94.61731867588,Open,Open,Open,Closed,Closed
116,3.8669187309865274,89.23883212503969,Open,Open,Closed,Closed,Closed
117,3.9002542372881353,89.12378232945603,Open,Open,Closed,Closed,Closed
118,3.933589743589744,94.23969835594325,Open,Open,Open,Closed,Closed
119,3.966925249891351,92.56263635584703,Open,Open,Closed,Closed,Closed
120,4.00026075619296,97.21731560751324,Open,Open,Open,Closed,Closed
121,4.033596262494568,89.27806511147114,Open,Open,Closed,Closed,Closed
122,4.0669317687961755,81.95443541001248,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,89.73065582076029,Open,Open,Closed,Closed,Closed
124,4.133602781399391,85.25916169835997,Open,Open,Closed,Closed,Closed
125,4.166938287700999,83.82555672401726,Open,Closed,Closed,Closed,Closed
126,4.200273794002608,81.10402317610072,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,81.2540755082464,Open,Closed,Closed,Closed,Closed
128,4.2669448066058235,80.96449293235023,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,74.77874338963875,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,77.19401141379814,Open,Closed,Closed,Closed,Closed
131,4.366951325510647,82.80682009408906,Open,Closed,Closed,Closed,Closed
132,4.400286831812255,91.4128181990473,Open,Open,Closed,Closed,Closed
133,4.433622338113864,93.33324102454408,Open,Open,Closed,Closed,Closed
134,4.466957844415472,94.9870303566247,Open,Open,Open,Closed,Closed
135,4.5002933507170795,101.78774980443818,Open,Open,Open,Closed,Closed
136,4.533628857018687,101.1488601377281,Open,Open,Open,Closed,Closed
137,4.566964363320295,100.1757214429894,Open,Open,Open,Closed,Closed
138,4.600299869621903,99.11667701014248,Open,Open,Open,Closed,Closed
139,4.633635375923511,90.55112721511952,Open,Open,Closed,Closed,Closed
140,4.66697088222512,101.00895388041002,Open,Open,Open,Closed,Closed
141,4.700306388526728,90.2024997690664,Open,Open,Closed,Closed,Closed
142,4.733641894828335,86.80582931162814,Open,Open,Closed,Closed,Closed
143,4.766977401129943,84.58933042042051,Open,Closed,Closed,Closed,Closed
144,4.800312907431551,81.2668419247911,Open,Closed,Closed,Closed,Closed
145,4.833648413733159,82.66765167409719,Open,Closed,Closed,Closed,Closed
146,4.866983920034767,85.55009810596313,Open,Open,Closed,Closed,Closed
147,4.900319426336376,83.2408959758294,Open,Closed,Closed,Closed,Closed
148,4.9336549326379835,80.25611835756226,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,81.00623339700121,Open,Closed,Closed,Closed,Closed
150,5.000325945241199,86.36674221198965,Open,Open,Closed,Closed,Closed
151,5.033661451542807,92.0149082278946,Open,Open,Closed,Closed,Closed
152,5.066996957844415,94.6962426748092,Open,Open,Open,Closed,Closed
153,5.100332464146024,93.2428328147735,Open,Open,Closed,Closed,Closed
154,5.133667970447632,101.05268748084558,Open,Open,Open,Closed,Closed
