frame,timestamp,anchor_to_top_lip_top_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
86,2.8668535419382875,90.78276288196884,Open,Open,Closed,Closed,Closed
87,2.900189048239896,89.92203300715295,Open,Open,Closed,Closed,Closed
88,2.9335245545415036,88.72987409705397,Open,Open,Closed,Closed,Closed
89,2.9668600608431115,86.90858680831818,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,81.55623047777797,Open,Closed,Closed,Closed,Closed
91,3.0335310734463277,81.51539246505111,Open,Closed,Closed,Closed,Closed
92,3.0668665797479355,78.45171114513576,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,80.02811511925087,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,84.74599046438368,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,82.96801774971605,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,89.48574016083938,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,93.44921956727832,Open,Open,Closed,Closed,Closed
98,3.2668796175575836,88.96710506897358,Open,Open,Closed,Closed,Closed
99,3.3002151238591915,85.84015371452148,Open,Closed,Closed,Closed,Closed
100,3.3335506301607993,86.54764114298723,Open,Closed,Closed,Closed,Closed
101,3.3668861364624076,88.59794150237599,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,87.49268887931868,Open,Open,Closed,Closed,Closed
103,3.4335571490656234,85.70605696985301,Open,Closed,Closed,Closed,Closed
104,3.4668926553672317,87.00569094244324,Open,Closed,Closed,Closed,Closed
105,3.5002281616688395,84.60114771368337,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,85.63940168902836,Open,Closed,Closed,Closed,Closed
107,3.5668991742720553,80.7897684183696,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,81.75259380094708,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,84.13877387532511,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,82.44104318356455,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,83.53569866906697,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,82.42660590970804,Open,Closed,Closed,Closed,Closed
113,3.7669122120817033,83.51530896126421,Open,Closed,Closed,Closed,Closed
114,3.800247718383312,83.52992986668599,Open,Closed,Closed,Closed,Closed
115,3.833583224684919,89.60629805218734,Open,Open,Closed,Closed,Closed
116,3.8669187309865274,85.68720283888322,Open,Closed,Closed,Closed,Closed
117,3.9002542372881353,86.88163996226612,Open,Closed,Closed,Closed,Closed
118,3.933589743589744,90.9680364085593,Open,Open,Closed,Closed,Closed
119,3.966925249891351,88.28771472072933,Open,Open,Closed,Closed,Closed
120,4.00026075619296,93.1134338138711,Open,Open,Closed,Closed,Closed
121,4.033596262494568,87.14261502485658,Open,Closed,Closed,Closed,Closed
122,4.0669317687961755,82.14647087084357,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,90.30717979191942,Open,Open,Closed,Closed,Closed
124,4.133602781399391,86.45118744645723,Open,Closed,Closed,Closed,Closed
125,4.166938287700999,86.3217484406168,Open,Closed,Closed,Closed,Closed
126,4.200273794002608,84.93201710055102,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,88.4264919872575,Open,Open,Closed,Closed,Closed
128,4.2669448066058235,82.06257635493485,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,78.27798967363552,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,80.54925305699183,Closed,Closed,Closed,Closed,Closed
131,4.366951325510647,84.14759920102766,Open,Closed,Closed,Closed,Closed
132,4.400286831812255,90.98133727175582,Open,Open,Closed,Closed,Closed
133,4.433622338113864,90.26865687884502,Open,Open,Closed,Closed,Closed
134,4.466957844415472,91.99035280298123,Open,Open,Closed,Closed,Closed
135,4.5002933507170795,97.3417437561626,Open,Open,Open,Closed,Closed
136,4.533628857018687,96.88503310320073,Open,Open,Open,Closed,Closed
137,4.566964363320295,95.42368271525793,Open,Open,Open,Closed,Closed
138,4.600299869621903,94.40293092169374,Open,Open,Open,Closed,Closed
139,4.633635375923511,87.1660116145469,Open,Closed,Closed,Closed,Closed
140,4.66697088222512,94.61164236041864,Open,Open,Open,Closed,Closed
141,4.700306388526728,91.49490374916924,Open,Open,Closed,Closed,Closed
142,4.733641894828335,90.0874353746008,Open,Open,Closed,Closed,Closed
143,4.766977401129943,90.46559304317304,Open,Open,Closed,Closed,Closed
144,4.800312907431551,89.49284871423302,Open,Open,Closed,Closed,Closed
145,4.833648413733159,89.50846675050394,Open,Open,Closed,Closed,Closed
146,4.866983920034767,86.78312701182921,Open,Closed,Closed,Closed,Closed
147,4.900319426336376,84.65151047205266,Open,Closed,Closed,Closed,Closed
148,4.9336549326379835,82.25206914095111,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,78.81821610233825,Closed,Closed,Closed,Closed,Closed
150,5.000325945241199,84.63535127183586,Open,Closed,Closed,Closed,Closed
151,5.033661451542807,87.70539260610829,Open,Open,Closed,Closed,Closed
152,5.066996957844415,92.67428384638576,Open,Open,Closed,Closed,Closed
153,5.100332464146024,87.46649740008561,Open,Open,Closed,Closed,Closed
154,5.133667970447632,93.99929069611528,Open,Open,Closed,Closed,Closed
155,5.167003476749239,95.95110530698824,Open,Open,Open,Closed,Closed
156,5.200338983050847,90.01977778691526,Open,Open,Closed,Closed,Closed
157,5.233674489352455,89.74977486833393,Open,Open,Closed,Closed,Closed
158,5.267009995654063,82.10079841443968,Open,Closed,Closed,Closed,Closed
159,5.300345501955671,88.57907230395966,Open,Open,Closed,Closed,Closed
160,5.33368100825728,79.85825882720061,Closed,Closed,Closed,Closed,Closed
161,5.3670165145588875,81.96349861198627,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,84.6562556050173,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,83.86195608923923,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,74.4343930033755,Closed,Closed,Closed,Closed,Closed
165,5.500358539765319,81.49138859260918,Open,Closed,Closed,Closed,Closed
166,5.533694046066927,82.06396600400173,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,77.41332002266941,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,79.35530233227256,Closed,Closed,Closed,Closed,Closed
169,5.633700564971751,83.04555344372575,Open,Closed,Closed,Closed,Closed
170,5.667036071273359,89.87383154477573,Open,Open,Closed,Closed,Closed
171,5.700371577574967,88.20701527475343,Open,Open,Closed,Closed,Closed
172,5.733707083876575,90.85782932792642,Open,Open,Closed,Closed,Closed
173,5.767042590178183,88.90329953901464,Open,Open,Closed,Closed,Closed
174,5.8003780964797915,92.10484540928108,Open,Open,Closed,Closed,Closed
175,5.833713602781399,88.97174921805856,Open,Open,Closed,Closed,Closed
176,5.867049109083007,92.87001334257916,Open,Open,Closed,Closed,Closed
177,5.900384615384615,88.25774630455345,Open,Open,Closed,Closed,Closed
