frame,timestamp,anchor_to_top_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
85,2.8335180356366796,73.51820178320651,Open,Open,Closed,Closed,Closed
86,2.8668535419382875,76.42174869548195,Open,Open,Closed,Closed,Closed
87,2.900189048239896,72.61637484718594,Open,Closed,Closed,Closed,Closed
88,2.9335245545415036,74.924519623992,Open,Open,Closed,Closed,Closed
89,2.9668600608431115,72.62373353441684,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,68.90416121174214,Open,Closed,Closed,Closed,Closed
91,3.0335310734463277,68.8089018526248,Open,Closed,Closed,Closed,Closed
92,3.0668665797479355,66.02906440549754,Open,Closed,Closed,Closed,Closed
93,3.1002020860495434,67.57117073574895,Open,Closed,Closed,Closed,Closed
94,3.1335375923511517,71.92581677682136,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,68.4353444819357,Open,Closed,Closed,Closed,Closed
96,3.200208604954367,75.44045827487734,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,74.54465202795444,Open,Open,Closed,Closed,Closed
98,3.2668796175575836,69.9739432544275,Open,Closed,Closed,Closed,Closed
99,3.3002151238591915,66.90453975855061,Open,Closed,Closed,Closed,Closed
100,3.3335506301607993,65.60683927705449,Closed,Closed,Closed,Closed,Closed
101,3.3668861364624076,69.6618083521241,Open,Closed,Closed,Closed,Closed
102,3.4002216427640155,68.09735192707655,Open,Closed,Closed,Closed,Closed
103,3.4335571490656234,64.75053733338501,Closed,Closed,Closed,Closed,Closed
104,3.4668926553672317,67.5499838721031,Open,Closed,Closed,Closed,Closed
105,3.5002281616688395,68.08355179574332,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,70.78355341140922,Open,Closed,Closed,Closed,Closed
107,3.5668991742720553,68.0365564961883,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,68.00517376347518,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,68.85405981715266,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,68.3806886247508,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,69.5818114780369,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,63.63586696926046,Closed,Closed,Closed,Closed,Closed
113,3.7669122120817033,66.5413210061676,Open,Closed,Closed,Closed,Closed
114,3.800247718383312,66.67312689708083,Open,Closed,Closed,Closed,Closed
115,3.833583224684919,68.16091424835315,Open,Closed,Closed,Closed,Closed
116,3.8669187309865274,64.28473335676391,Closed,Closed,Closed,Closed,Closed
117,3.9002542372881353,67.14828356549236,Open,Closed,Closed,Closed,Closed
118,3.933589743589744,70.68519427054807,Open,Closed,Closed,Closed,Closed
119,3.966925249891351,67.97968371348563,Open,Closed,Closed,Closed,Closed
120,4.00026075619296,73.42753110273199,Open,Open,Closed,Closed,Closed
121,4.033596262494568,66.04192163032658,Open,Closed,Closed,Closed,Closed
122,4.0669317687961755,64.93727307344756,Closed,Closed,Closed,Closed,Closed
123,4.100267275097783,71.9765078579922,Open,Closed,Closed,Closed,Closed
124,4.133602781399391,70.28679824864267,Open,Closed,Closed,Closed,Closed
125,4.166938287700999,71.23050868377811,Open,Closed,Closed,Closed,Closed
