frame,timestamp,aspect_ratio_between_lips_to_mouth_width,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
82,2.7335115167318556,0.103172523628443,Closed,Closed,Closed,Closed,Closed
83,2.7668470230334634,0.1028981355147618,Closed,Closed,Closed,Closed,Closed
84,2.8001825293350717,0.0556759733741524,Closed,Closed,Closed,Closed,Closed
85,2.8335180356366796,0.1040996557122899,Closed,Closed,Closed,Closed,Closed
86,2.8668535419382875,0.1243691894113298,Open,Closed,Closed,Closed,Closed
87,2.900189048239896,0.0816865054156032,Closed,Closed,Closed,Closed,Closed
88,2.9335245545415036,0.1378641898067687,Open,Closed,Closed,Closed,Closed
89,2.9668600608431115,0.1440781095656634,Open,Closed,Closed,Closed,Closed
90,3.0001955671447194,0.1710754381800571,Open,Closed,Closed,Closed,Closed
91,3.0335310734463277,0.1939944851674132,Open,Closed,Closed,Closed,Closed
92,3.0668665797479355,0.2461179289112905,Open,Open,Closed,Closed,Closed
93,3.1002020860495434,0.2049481649950819,Open,Open,Closed,Closed,Closed
94,3.1335375923511517,0.1548440053974138,Open,Closed,Closed,Closed,Closed
95,3.1668730986527596,0.2014495707513318,Open,Open,Closed,Closed,Closed
96,3.200208604954367,0.1592822516713501,Open,Closed,Closed,Closed,Closed
97,3.2335441112559757,0.1256138348107392,Open,Closed,Closed,Closed,Closed
98,3.2668796175575836,0.0958418293047444,Closed,Closed,Closed,Closed,Closed
99,3.3002151238591915,0.080459457464654,Closed,Closed,Closed,Closed,Closed
100,3.3335506301607993,0.1023929187647704,Closed,Closed,Closed,Closed,Closed
101,3.3668861364624076,0.0850394249122887,Closed,Closed,Closed,Closed,Closed
102,3.4002216427640155,0.090419309624752,Closed,Closed,Closed,Closed,Closed
103,3.4335571490656234,0.0620173672946042,Closed,Closed,Closed,Closed,Closed
104,3.4668926553672317,0.0932594519607902,Closed,Closed,Closed,Closed,Closed
105,3.5002281616688395,0.0729185339620615,Closed,Closed,Closed,Closed,Closed
106,3.5335636679704474,0.0717713601629082,Closed,Closed,Closed,Closed,Closed
107,3.5668991742720553,0.1913849489783196,Open,Closed,Closed,Closed,Closed
108,3.6002346805736636,0.1803426028819619,Open,Closed,Closed,Closed,Closed
109,3.633570186875271,0.1444368707610263,Open,Closed,Closed,Closed,Closed
110,3.6669056931768793,0.1656973786810616,Open,Closed,Closed,Closed,Closed
111,3.700241199478488,0.1785394558013665,Open,Closed,Closed,Closed,Closed
112,3.733576705780095,0.1547228316978508,Open,Closed,Closed,Closed,Closed
113,3.7669122120817033,0.1020579361102953,Closed,Closed,Closed,Closed,Closed
114,3.800247718383312,0.0709897247079513,Closed,Closed,Closed,Closed,Closed
115,3.833583224684919,0.0989350420839007,Closed,Closed,Closed,Closed,Closed
116,3.8669187309865274,0.0436537768863668,Closed,Closed,Closed,Closed,Closed
117,3.9002542372881353,0.0430868869684574,Closed,Closed,Closed,Closed,Closed
118,3.933589743589744,0.0920104461057277,Closed,Closed,Closed,Closed,Closed
119,3.966925249891351,0.1188315477278959,Open,Closed,Closed,Closed,Closed
120,4.00026075619296,0.0783126326915142,Closed,Closed,Closed,Closed,Closed
121,4.033596262494568,0.0850071568412875,Closed,Closed,Closed,Closed,Closed
122,4.0669317687961755,0.1032126433191818,Closed,Closed,Closed,Closed,Closed
123,4.100267275097783,0.0711818398746342,Closed,Closed,Closed,Closed,Closed
124,4.133602781399391,0.044070399638542,Closed,Closed,Closed,Closed,Closed
125,4.166938287700999,0.0574613772979015,Closed,Closed,Closed,Closed,Closed
126,4.200273794002608,0.1602637619024136,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,0.2083543912341911,Open,Open,Closed,Closed,Closed
128,4.2669448066058235,0.1768871206726121,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,0.1660404795597401,Open,Closed,Closed,Closed,Closed
130,4.333615819209039,0.203517039292839,Open,Open,Closed,Closed,Closed
131,4.366951325510647,0.2034050236372669,Open,Open,Closed,Closed,Closed
132,4.400286831812255,0.149050035638082,Open,Closed,Closed,Closed,Closed
133,4.433622338113864,0.1477409677524043,Open,Closed,Closed,Closed,Closed
134,4.466957844415472,0.1335402587543161,Open,Closed,Closed,Closed,Closed
135,4.5002933507170795,0.0739282793260946,Closed,Closed,Closed,Closed,Closed
136,4.533628857018687,0.0743544420665857,Closed,Closed,Closed,Closed,Closed
137,4.566964363320295,0.0808499056441726,Closed,Closed,Closed,Closed,Closed
138,4.600299869621903,0.0981830545595612,Closed,Closed,Closed,Closed,Closed
