frame,timestamp,anchor_to_nose,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
86,2.8668535419382875,120.63975919039136,Open,Open,Closed,Closed,Closed
87,2.900189048239896,117.21316875693904,Open,Closed,Closed,Closed,Closed
88,2.9335245545415036,113.58398647404528,Open,Closed,Closed,Closed,Closed
89,2.9668600608431115,131.41911915848095,Open,Open,Open,Closed,Closed
90,3.0001955671447194,120.50643162015729,Open,Open,Closed,Closed,Closed
91,3.0335310734463277,119.3627623108702,Open,Open,Closed,Closed,Closed
92,3.0668665797479355,131.20258709330065,Open,Open,Open,Closed,Closed
93,3.1002020860495434,132.64089036781652,Open,Open,Open,Closed,Closed
94,3.1335375923511517,133.64865189822845,Open,Open,Open,Closed,Closed
95,3.1668730986527596,124.47043875568738,Open,Open,Closed,Closed,Closed
96,3.200208604954367,127.32017142225122,Open,Open,Closed,Closed,Closed
97,3.2335441112559757,126.27855493407792,Open,Open,Closed,Closed,Closed
98,3.2668796175575836,126.57525984636872,Open,Open,Closed,Closed,Closed
99,3.3002151238591915,106.65972754549782,Closed,Closed,Closed,Closed,Closed
100,3.3335506301607993,116.06765731122644,Open,Closed,Closed,Closed,Closed
101,3.3668861364624076,125.7778587994737,Open,Open,Closed,Closed,Closed
102,3.4002216427640155,114.71643934503396,Open,Closed,Closed,Closed,Closed
103,3.4335571490656234,108.53136325564007,Closed,Closed,Closed,Closed,Closed
104,3.4668926553672317,117.9346483059389,Open,Closed,Closed,Closed,Closed
105,3.5002281616688395,115.3212137562373,Open,Closed,Closed,Closed,Closed
106,3.5335636679704474,122.15218328589998,Open,Open,Closed,Closed,Closed
107,3.5668991742720553,125.09407780601524,Open,Open,Closed,Closed,Closed
108,3.6002346805736636,131.01501071922735,Open,Open,Open,Closed,Closed
109,3.633570186875271,134.35570155013954,Open,Open,Open,Closed,Closed
110,3.6669056931768793,131.9474861657851,Open,Open,Open,Closed,Closed
111,3.700241199478488,133.1638368095468,Open,Open,Open,Closed,Closed
