frame,timestamp,aspect_ratio__mouth_width__inside_lips,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
81,2.7001760104302477,10.874458430370046,Closed,Closed,Closed,Closed,Closed
82,2.7335115167318556,9.692503050534231,Closed,Closed,Closed,Closed,Closed
83,2.7668470230334634,9.718349074036814,Closed,Closed,Closed,Closed,Closed
84,2.8001825293350717,17.96106901050157,Open,Closed,Closed,Closed,Closed
85,2.8335180356366796,9.60617970499148,Closed,Closed,Closed,Closed,Closed
86,2.8668535419382875,8.040576647104055,Closed,Closed,Closed,Closed,Closed
87,2.900189048239896,12.241924108666616,Closed,Closed,Closed,Closed,Closed
88,2.9335245545415036,7.253515226844665,Closed,Closed,Closed,Closed,Closed
89,2.9668600608431115,6.940679628672192,Closed,Closed,Closed,Closed,Closed
90,3.0001955671447194,5.845374477121015,Closed,Closed,Closed,Closed,Closed
91,3.0335310734463277,5.154785710207282,Closed,Closed,Closed,Closed,Closed
92,3.0668665797479355,4.063092861310542,Closed,Closed,Closed,Closed,Closed
93,3.1002020860495434,4.879282525042352,Closed,Closed,Closed,Closed,Closed
94,3.1335375923511517,6.458112456038945,Closed,Closed,Closed,Closed,Closed
95,3.1668730986527596,4.964021498136592,Closed,Closed,Closed,Closed,Closed
96,3.200208604954367,6.27816338296948,Closed,Closed,Closed,Closed,Closed
97,3.2335441112559757,7.960906547488875,Closed,Closed,Closed,Closed,Closed
98,3.2668796175575836,10.433857609503043,Closed,Closed,Closed,Closed,Closed
99,3.3002151238591915,12.428619723657736,Closed,Closed,Closed,Closed,Closed
100,3.3335506301607993,9.766300365920058,Closed,Closed,Closed,Closed,Closed
101,3.3668861364624076,11.759251676871278,Closed,Closed,Closed,Closed,Closed
102,3.4002216427640155,11.059584552791724,Closed,Closed,Closed,Closed,Closed
103,3.4335571490656234,16.1245154965971,Open,Closed,Closed,Closed,Closed
104,3.4668926553672317,10.722773713279354,Closed,Closed,Closed,Closed,Closed
105,3.5002281616688395,13.71393451931283,Closed,Closed,Closed,Closed,Closed
106,3.5335636679704474,13.933134299394329,Closed,Closed,Closed,Closed,Closed
107,3.5668991742720553,5.225071278271111,Closed,Closed,Closed,Closed,Closed
