frame,timestamp,aspect_ratio_nose_to_lips_lips_to_chin,aspect_ratio_between_lips_to_mouth_width,aspect_ratio_top_lip_heigh_to_mouth_width,aspect_ratio_bottom_lip_heigh_to_mouth_width,aspect_ratio__mouth_width__nose_to_chin,aspect_ratio__mouth_width__outside_lips,aspect_ratio__mouth_width__inside_lips,anchor_to_top_lip_top,anchor_to_bottom_lip_bottom,anchor_to_top_lip_bottom,anchor_to_bottom_lip_top,anchor_to_top_lip_top_center,anchor_to_top_lip_bottom_center,anchor_to_bottom_lip_top_center,anchor_to_bottom_lip_bottom_center,anchor_to_chin,anchor_to_nose
10,0.33335506301608,0.4445217091612165,0.10578241226203275,0.12378037424988757,0.17642332433058752,0.6765733542576887,0.6765733542576887,9.453367328426092,75.76170292900699,68.50347205478938,65.83969808434253,63.1653910752746,93.51812299950002,86.97121693357238,85.21395473904352,90.59417150942785,178.80674759778904,127.46759050710529
11,0.3666905693176879,0.4623913720357062,0.057356763640934644,0.12670523223832061,0.1838997740279248,0.7034865547328715,0.7034865547328715,17.434735443934905,75.18802248385632,68.07228325194828,65.01226698675276,63.21411960979567,93.9072315052636,88.10914374138808,87.21910987196514,91.96367912525304,177.30675094269012,127.46555567301377
12,0.4000260756192959,0.45466919010701545,0.08573534664884182,0.12598405989420766,0.17147069329768364,0.7013675462541356,0.7013675462541356,11.663800743651729,76.60201948027863,69.8508144919301,65.98845715656296,64.12515182025552,94.72831622974006,88.74705143727678,87.68200891967581,93.11447793051836,179.75078521149962,127.8386251130382
13,0.4333615819209039,0.4869357395419652,0.05288032323140373,0.12670523223832061,0.1781756266615715,0.6924039494118513,0.6924039494118513,18.91062570899975,74.5034608498888,66.16120475166173,64.14199231333,62.7782934721108,93.93858078188183,88.11948445247415,87.25425061377805,91.36096547883882,177.57463313490206,130.4021926609618
14,0.4666970882225119,0.4444932929155822,0.052172710311472345,0.13263996756577792,0.18517682476901712,0.6950692596967037,0.6950692596967037,19.16710851381835,75.210896748523,68.52494174877498,64.33100582878205,63.289265039998796,93.40321789635786,87.54299087940095,86.8171178136682,91.73827577969197,180.13655787396337,126.16607206552723
15,0.50003259452412,0.4834946185485364,0.047586528257313916,0.12708679703710984,0.18475299939353604,0.6935676135603753,0.6935676135603753,21.014350838807047,73.91015291668744,68.27708763999664,63.6364711876989,62.706901555025894,92.49100267354754,87.25647534528778,86.6723219053285,91.63801809323189,178.3006392540887,127.49279503643521
16,0.5333681008257279,0.4100229110443687,0.10093105321721943,0.11788632650586596,0.15790245915083015,0.7214597238233077,0.7214597238233077,9.907753541894024,77.26101832696372,69.19029657826404,66.61457986119677,64.66530224611033,96.50573030212084,90.57014252236499,89.19522310655259,94.17637400602868,181.26633121751556,126.19147878509938
17,0.5667036071273359,0.44056994527044535,0.07919525196486878,0.11862525703984049,0.15839050392973755,0.70957703186933,0.70957703186933,12.627019615312326,76.50009071456336,67.52923360829945,65.22132921086417,63.122261859045665,95.6096857012741,89.84865395939494,88.6177669573311,92.73158257304631,180.0470186535308,128.4642102476811
18,0.6000391134289439,0.3834134585994725,0.10414406840917832,0.10398372332807684,0.15608252746953505,0.7163697268171155,0.7163697268171155,9.602083107326244,74.64926058681394,68.51839284282107,65.11670549612658,63.56464859497237,93.03141180699437,88.04048693005296,86.57314548116784,91.26258436020427,180.18489591483885,120.2515898820605
19,0.6333746197305519,0.46691778995836897,0.10447473870827971,0.11164509576647343,0.16293031505009478,0.6941557622752202,0.6941557622752202,9.57169180190301,75.36080936309824,69.42876188150592,66.66620053276048,63.65974682122747,93.10524116360757,87.64630902889871,86.16452782702352,91.18827768467409,176.85815054701294,127.18764831773589
20,0.66671012603216,0.41958917208543167,0.08994812853621952,0.1179605271907932,0.15720284393531353,0.7170636865764773,0.7170636865764773,11.117518688533123,77.71783897002892,69.02489115392848,66.98741297878951,64.05217929514109,96.4094975481635,90.49478057016918,89.11418860650981,93.51275335035308,181.02590208942263,127.40628452520079
21,0.7000456323337679,0.4323763271862234,0.107322060892474,0.10776584801330753,0.1588441818772789,0.7126455892301243,0.7126455892301243,9.317748761849629,76.3423931132268,70.06406656515841,66.59110234594624,64.10844990706883,95.45829046699798,90.12842386633136,88.68362899143327,93.86747444281808,181.3655333199061,126.7011938795388
22,0.7333811386353759,0.41170894620420495,0.08262613210913114,0.12131012027120247,0.16671470214312678,0.7388023690430086,0.7388023690430086,12.102708604091712,80.4037054268209,72.10327188998934,69.62163090102827,67.69804741923338,98.52901923117511,92.22391628925132,90.78028831902742,95.25601325905687,179.86920733580592,128.04434796818427
23,0.7667166449369839,0.3773544719396469,0.09104974002989237,0.10791100802084902,0.14777687649168217,0.7409920286893553,0.7409920286893553,10.983007745784796,74.83689520659065,69.15444639681192,65.5833560209421,64.03723852783827,93.89836452426118,89.08818999178095,88.06788469204983,92.51144536354403,179.6063814098389,119.62615789067614
24,0.8000521512385919,0.40863374129376173,0.09156960108787823,0.09710323125618177,0.14291306293086223,0.734071010316591,0.734071010316591,10.920654760091313,74.35901951386339,67.6924223322146,65.33899973858122,63.518799735390985,93.10910043405792,88.76379435504566,87.54603954654274,91.43132970001243,177.5648598409552,121.39957267826256
25,0.8333876575401998,0.3553916810318984,0.09351983117247646,0.11725404532527685,0.14193777919630307,0.7261661491170176,0.7261661491170176,10.692919217911365,74.07003200941163,67.8022934622256,65.23304510679279,63.633201753851026,92.26827365902136,86.8575872102112,85.73267856238797,89.62111989725561,177.78233116280333,117.37330658910065
26,0.8667231638418079,0.46851958719877124,0.08053187690139225,0.13246413639994525,0.18396333124446274,0.6944288589781478,0.6944288589781478,12.417443110440056,76.32505032114372,69.6189446827326,65.59081645293409,63.5815148064836,94.79642436109465,88.29545187343332,87.14372991612271,92.80040811243214,178.28071288428094,129.05373828797354
27,0.9000586701434159,0.47497873731375473,0.10171013024248299,0.13193958766255826,0.18524766713011087,0.6522665461128355,0.6522665461128355,9.831862348577674,73.86026817754633,67.3893571636346,62.26138650382656,60.1777176175417,91.36352795929498,84.95493419870368,83.75578486437064,90.2398204299788,180.6797359219567,127.85721778156645
28,0.933394176445024,0.4577408247821673,0.13580730163838753,0.13003676404305517,0.17164202860675176,0.6453763515377795,0.6453763515377795,7.363374339493822,75.2620948866286,69.24168402031046,63.91370475947173,61.327597896244235,92.73202938857592,86.13518682861923,84.98471169102282,92.13579245220009,185.93782598856745,128.71882017982358
29,0.9667296827466318,0.5158224355615585,0.21372943949489265,0.11338113260719088,0.1784343955500258,0.62969119285912,0.62969119285912,4.678812625735148,77.76345460723974,73.12730488892717,65.8415106682613,62.46569891805031,93.76504320641874,87.08043888819401,85.41335697007341,95.13836621045382,184.8544408184685,133.1987879504864
30,1.00006518904824,0.5245936845821554,0.2986312250392997,0.11363693114791013,0.19149690922664012,0.6076015893706511,0.6076015893706511,3.3486116526106757,81.38687453614679,77.98756155777045,67.53473437427971,63.90621244469273,96.27960127465744,88.44010594758947,86.43812245846925,99.46097321434726,187.7262821525656,136.25172133702927
31,1.0334006953498478,0.47996789129837625,0.2744497513484525,0.16066512134931912,0.26231331128780955,0.5553044238362984,0.5553044238362984,3.643654239388833,83.20904146137373,74.26449227691705,63.88952640566109,55.49178670666341,96.46907424519581,84.29314877607911,79.26076744137806,94.69157506638173,187.04710324421126,136.89344036177846
32,1.066736201651456,0.5129747795119577,0.5048501225209183,0.11431794285133778,0.2046393322841177,0.5669881635108353,0.5669881635108353,1.9807858914772576,88.84150045193198,94.35020892029601,74.26493560359971,72.82671756950364,102.80748518225417,92.92279290939656,93.54260064059523,113.25746869420288,198.4128901770864,140.6227550524282
33,1.1000717079530635,0.509475773682821,0.4916337818045289,0.14986279623719484,0.26822712197721915,0.5403312666352549,0.5403312666352549,2.0340343503848053,91.18076271275802,95.2912202860092,70.74781540887406,67.01877138535654,103.33544240325571,90.15918400755729,88.90151159685593,114.26698412127553,198.46151539420453,141.0541718732615
34,1.1334072142546718,0.5090071573257948,0.5741852627447932,0.1756588487051098,0.2809793877536436,0.5243741848132769,0.5243741848132769,1.7415981650585617,98.0058813746596,103.47732035523941,73.33586322738178,71.32994048351668,109.30223380806466,92.49893676054003,92.36197730074471,121.23296582200742,200.74683111920444,145.69174740346733
35,1.16674272055628,0.5592253182706646,0.4724576699645563,0.10916093889989309,0.21798573922044345,0.6021798630178874,0.6021798630178874,2.1165917363031057,86.47935565205788,91.46229660230094,72.32410713090135,68.46467531643813,101.31613858344238,92.04772455367018,90.64843057381756,110.49617352092721,184.1274015850807,137.25427559317527
36,1.2000782268578878,0.4509665026549688,0.4464682522047423,0.1488095238095238,0.20246846847255892,0.5791245558937372,0.5791245558937372,2.2398009154331047,102.40366256674469,79.22447623245776,78.12783822883495,61.860452826206846,114.05007443210656,98.86164470116704,87.10638252024948,101.55242587429163,184.33807164899594,151.05094081673
37,1.233413733159496,0.3362732521080292,0.24471333307487642,0.08879535677396304,0.1570154328524625,0.6240151917656723,0.6240151917656723,4.086414039785989,80.11018332946699,61.7724668450271,68.66913452803246,56.64239716890172,95.9390906522342,88.84679587784191,80.6974558283104,85.85844989937105,183.4301000292469,126.70577491587056
38,1.2667492394611035,0.4969632552455163,0.4050632911392405,0.12674040756013158,0.2216093848102734,0.5378282842002939,0.5378282842002939,2.46875,82.67334928409193,78.3401119396867,66.63399513821307,58.64553376553954,98.02119172882735,87.68130625042556,83.17792347306133,99.8566606421312,194.52650990879232,140.38494651462625
39,1.3000847457627118,0.3707461546977973,0.36919663650416695,0.11765880336797307,0.23763952902888766,0.6087882105437551,0.6087882105437551,2.708583722399956,90.91761245701272,83.38056001166075,74.57326964171466,62.31285317140066,107.99908515606575,97.16021516418469,89.14266868147175,106.75591497799509,193.97482676010222,137.5864809311427
40,1.33342025206432,0.3177918931106005,0.3140577821362789,0.11270494790464318,0.23017187347249873,0.6569164952791985,0.6569164952791985,3.18412743412316,86.53658627846661,86.46229065539191,72.29876582472647,65.4599410233788,103.95548024942147,95.17246706081241,92.07841704636598,109.92394161486554,202.15719418886016,127.22471527956145
41,1.3667557583659278,0.3681348598112566,0.3863074633489289,0.11282928823028998,0.23185144838868302,0.5990951396887458,0.5990951396887458,2.5886116497230565,82.76435152344156,79.72631793116847,67.31513461298897,58.60619250010187,97.92101940504904,88.79819466190952,83.7230170987801,100.9926068172262,189.5299887742456,125.48834909527272
42,1.400091264667536,0.3550113489048479,0.46854956574272283,0.09618172144532265,0.1957230584251437,0.6285683608308463,0.6285683608308463,2.134245922125329,87.70491239515044,99.03948752362507,75.53433121821811,76.1263579167793,105.59374051536126,97.60198995402885,100.72680508593629,120.89000502688785,211.19298256377175,130.4315336491107
43,1.4334267709691435,0.4138893912808675,0.3911446072922084,0.11229577231219764,0.2056593387309193,0.6379251137732974,0.6379251137732974,2.5565992253421004,81.09555598095722,92.31896935772173,68.46509246851755,68.90192976187814,98.24508350253274,90.39117562233506,93.61643372272803,112.60823570859489,196.85493122795137,124.69576942973258
44,1.4667622772707518,0.3873243933817213,0.3581537150791221,0.09786823384240638,0.20176053276244524,0.6270095445693986,0.6270095445693986,2.79209724176415,79.4610658415766,79.93304235094675,67.70150653105452,61.736073506880814,96.06837332356008,88.85601632831427,86.10776872121335,101.00461819070708,188.85059436471036,123.36308764964376
45,1.5000977835723597,0.3847798482288291,0.3609509936367848,0.1036673056623895,0.20095666704008425,0.6156375745941117,0.6156375745941117,2.7704591970351324,74.30922674437836,76.15588980020074,63.1726673472367,58.54424123833195,90.40745079504592,83.34847156283504,81.95883931389773,96.49982960052772,182.2429533635394,117.11087766414218
