frame,timestamp,behind_hand,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9
10,0.33334536702767753,False,74.70609078247904,68.6804193347711,67.91170738539859,66.06814663663572,90.75791976461338,87.13208364316786,87.02298546935747,88.29496021857646,160.01562423713506,124.48293055676348,70.32780389006896,62.93647591023825,63.06346010171025,60.07495318350236,86.03487664894976,82.20097323024831,80.02499609497022,83.43260753446461,162.60381299342276,121.0826164236634,167.0,61.0,15.0,12.041594578792296,22.02271554554524,118.10588469674151
11,0.36667990373044523,False,73.35529974037323,65.52098900352466,66.2872536767062,65.27633568147036,90.44335243676011,86.70063436907483,86.09297300012354,87.0976463516667,159.51175505272332,122.3315167894194,68.8839603971781,63.89053137985315,62.16912416947821,61.1310068623117,86.97700845625813,83.48652585896721,83.02409288875127,86.58521813797087,165.89454481688057,118.80235687897779,169.01183390520322,59.0,17.0,7.0,23.021728866442675,119.10499569707393
12,0.400014440433213,False,69.77105417004964,64.19501538281614,63.56099432828282,62.03224967708329,87.28115489611719,84.01190391843289,83.02409288875127,85.37564055396598,161.533278305122,121.01652779682617,67.11929677819934,62.297672508690084,60.63827174318213,60.03332407921454,85.07055894961546,81.88406438373708,81.00617260431454,83.67795408588812,167.38578195294843,120.28299963003916,164.00304875214974,62.00806399170998,14.0,11.0,22.0,122.14745187681976
13,0.43334897713598075,False,74.68600939935136,68.15423684555495,67.468511173732,67.26812023536856,93.30058949438637,88.81441324469807,89.1403387922662,90.80198235721508,160.0656115472652,125.86500705120545,66.73080248281148,59.77457653551382,59.43904440685432,58.215118311311535,83.48652585896721,80.75270893288967,79.1012010022604,81.25269226308751,158.80806024884254,118.25819210524064,168.00297616411441,61.0,16.0312195418814,7.0710678118654755,23.0,117.03845521878696
14,0.4666835138387485,False,75.13321502504735,67.446274915669,67.468511173732,66.06814663663572,92.65527507918802,87.96590248499699,87.05170877128145,87.86353054595519,160.52414148656894,125.15989773086265,69.35416353759881,63.60031446463138,62.5859409132754,62.07253821135398,86.64871608973787,83.86298349093002,83.02409288875127,86.12200647918046,164.51443705644803,120.28299963003916,170.00294115102832,60.0,16.0312195418814,10.0,21.02379604162864,120.06664815842908
15,0.5000180505415163,False,75.17978451685,68.00735254367721,66.70832032063167,65.19202405202648,92.97311439335567,87.96590248499699,87.09190547921202,90.52071586106685,163.11039206623224,124.45882853377658,67.60177512462228,63.56099432828282,60.207972893961475,58.077534382926416,85.07055894961546,82.49242389456137,82.0,86.97700845625813,169.09760495051373,118.10588469674151,169.04733065032408,59.00847396772772,17.029386365926403,9.0,29.0,116.1077086157504
16,0.533352587244284,False,73.824115301167,65.80273550544841,66.70832032063167,65.19202405202648,92.65527507918802,87.82368700982668,87.05170877128145,89.26925562588724,161.0372627685903,123.7457069962429,66.88796603276258,61.032778078668514,58.69412236331676,58.137767414994535,84.75848040166836,81.74350127074322,81.02468759581859,83.67795408588812,162.92943257741985,117.45637488020819,168.00297616411441,58.0,17.029386365926403,9.0,23.0,118.06777714516353
17,0.5666871239470518,False,74.79304780526061,66.73080248281148,65.5133574166368,65.19202405202648,92.69843580125827,86.83317338436964,87.09190547921202,88.76936408468859,163.11039206623224,125.1758762701504,67.7421582177598,61.465437442517235,59.22837157984339,58.077534382926416,86.03487664894976,82.49242389456137,81.00617260431454,85.72630868059116,167.72596698186004,118.86967653695369,168.02678357928536,58.0,20.024984394500787,8.06225774829855,26.019223662515376,119.06720791217035
18,0.6000216606498195,False,77.3692445355388,68.96375859826666,69.05070600652827,68.26419266350405,96.16652224137046,92.65527507918802,91.13725912051558,93.17188417113823,164.30459518832697,128.69343417595164,66.37017402418047,60.08327554319921,58.249463516842795,57.3149195236284,83.48652585896721,79.63039620647382,80.09993757800315,82.71033792700887,164.63899902513984,120.41594578792295,171.00292395160966,63.00793600809346,17.0,6.082762530298219,25.0,120.10412149464314
19,0.6333561973525873,False,76.94153624668537,68.9492567037528,68.65857557508748,67.11929677819934,95.50916186418976,91.92388155425118,90.0499861188218,93.14504817756014,165.8463143998081,126.57408897558773,64.1404708432983,60.41522986797286,56.515484603779164,55.036351623268054,82.21921916437786,78.63841300535,79.0,83.48652585896721,168.94081803992782,116.77756633874505,169.0266251216062,60.00833275470999,16.0,10.04987562112089,27.0,119.15116449284078
