timestamp,dtNs,ax,ay,az,gx,gy,gz,label
667362.684830708,20000000,-0.58257246,0.095187806,-0.37879503,0.05439063,0.18715058,-0.12660111,false
667362.704830708,40000000,-0.27490777,0.015912969,-0.10562575,0.060784142,0.2037728,-0.13721079,false
667362.724830708,0,0.00038565695,-0.003646519,0.005546689,0.071131855,0.17657615,-0.12602444,false
667362.744830708,20000000,0.0038822591,-0.0040437505,0.00024968386,0.06694734,0.17342043,-0.1396824,false
667362.764830709,0,0.0041664094,-0.0033216141,-0.0026082993,0.06456818,0.1728609,-0.14619157,false
667362.784830709,20000000,0.004450828,-0.0026025772,-0.0054698586,0.062189013,0.17230138,-0.15270074,false
667362.804830709,0,0.0028822273,0.0010400005,-0.0070286393,0.060159396,0.18335263,-0.16274032,false
667362.824830709,20000000,0.0013133585,0.0046789832,-0.008592665,0.05812978,0.1944039,-0.1727799,false
667362.844830709,0,-0.008773357,-0.0010977015,-6.41346e-05,0.07650928,0.20019066,-0.15774524,false
667362.864830709,20000000,-0.018862188,-0.006879274,0.008461297,0.094888784,0.20597744,-0.1427106,false
667362.884830709,0,-0.011703655,-0.011757731,0.007457733,0.11403916,0.1905325,-0.101333156,false
667362.904830709,20000000,-0.004545942,-0.01664013,0.0064489245,0.13318953,0.17508759,-0.059955712,false
667362.924830709,0,0.0035656095,-0.025225509,0.009995103,0.14436688,0.17762163,-0.040554646,false
667362.944830709,20000000,0.011675581,-0.03381286,0.013535738,0.15554422,0.18015568,-0.02115358,false
667362.964830709,0,0.01916109,-0.03777044,0.013645291,0.1674493,0.15814728,0.00044414029,false
667362.984830709,20000000,0.02664645,-0.041728623,0.013741732,0.17935437,0.13613887,0.02204186,false
667363.004830709,0,0.027910918,-0.032507773,0.0031279325,0.14507881,0.102522,0.05839283,false
667363.024830709,20000000,0.029183388,-0.02328538,-0.007511854,0.11080326,0.06890513,0.0947438,false
667363.044830709,0,0.031175941,-0.011152867,-0.019604027,0.0490058,0.0993364,0.17164779,false
667363.064830709,20000000,0.033190966,0.0009919405,-0.031726778,-0.012791675,0.12976769,0.24855179,false
667363.084830709,0,0.046733767,-0.008446406,-0.027129292,-0.022699974,0.19814882,0.2980075,false
667363.104830709,20000000,0.0602901,-0.017864145,-0.022548258,-0.032608274,0.26652998,0.3474632,false
667363.124830709,0,0.07198471,-0.033689484,-0.0023676753,-0.0090970285,0.3273953,0.34834188,false
667363.144830709,20000000,0.083707154,-0.049462344,0.017763317,0.014414215,0.38826057,0.3492206,false
667363.164830709,0,0.0833326,-0.05325197,0.03591925,0.032626297,0.36722746,0.2984699,false
667363.184830709,20000000,0.08299571,-0.056990903,0.054003656,0.05083838,0.3461944,0.2477192,false
667363.204830709,0,0.07958269,-0.056158744,0.06607741,0.10018101,0.28269297,0.20951746,false
667363.224830709,20000000,0.07621139,-0.05529897,0.07807094,0.14952365,0.21919152,0.17131573,false
667363.244830709,0,0.08276376,-0.05059533,0.06760383,0.2049624,0.16268146,0.13349928,false
667363.264830709,20000000,0.08935735,-0.045882173,0.057047606,0.26040116,0.106171384,0.09568283,false
667363.284830709,0,0.08530182,-0.04600486,0.050566494,0.31232798,0.08471214,0.05470442,false
667363.304830709,0,0.08362061,-0.040092498,0.04052311,0.35129434,0.06071931,0.0064132176,false
667363.324830709,20000000,0.08194685,-0.03419374,0.030395329,0.3902607,0.03672648,-0.04187798,false
667363.344830709,0,0.07187143,-0.02135311,0.026275039,0.3909357,0.01491938,-0.083421245,false
667363.364830709,20000000,0.061787456,-0.008533124,0.022073805,0.39161068,-0.0068877153,-0.124964505,false
667363.384830709,0,0.051423192,0.0042132176,0.01823914,0.35514498,-0.029717375,-0.121883646,false
667363.404830709,20000000,0.041044205,0.016942859,0.014347613,0.31867927,-0.052547034,-0.118802786,false
667363.424830709,0,0.035914868,0.018042963,0.013887107,0.2644237,-0.05670235,-0.0824848,false
667363.444830709,20000000,0.03077662,0.019135244,0.0134007335,0.21016814,-0.060857665,-0.046166804,false
667363.464830709,0,0.030388981,0.019140784,0.011649847,0.1769447,-0.055501986,-0.019105721,false
667363.484830709,20000000,0.030000329,0.019145414,0.00989598,0.14372125,-0.05014631,0.007955363,false
