timestamp,dtNs,ax,ay,az,gx,gy,gz,label
673610.468226042,0,0.019733876,-0.0021190643,-0.01850164,0.2856058,0.36544278,-0.09083709,false
673610.488226042,20000000,0.028430112,0.0008151531,-0.010824323,0.2869361,0.41943848,-0.12140727,false
673610.508226042,40000000,0.037113816,0.003751099,-0.0031728148,0.28826645,0.47343418,-0.15197745,false
673610.528226042,0,0.047115363,0.00840354,0.028562546,0.30215743,0.5852393,-0.25612655,false
673610.548226042,20000000,0.055501938,0.009280503,0.039652824,0.31199348,0.6156308,-0.30260932,false
673610.568226042,0,0.08770106,-0.02415669,0.032593727,0.33710322,0.72552615,-0.5388942,false
673610.588226042,0,0.116368346,-0.075638175,0.011876643,0.33862787,0.8853648,-0.9545891,false
673610.608226042,0,0.11474759,-0.10019624,0.012067437,0.34450576,0.9747274,-1.3007084,false
673610.628226042,0,0.07452729,-0.11672822,0.013807237,0.36304507,1.0956663,-2.0246606,false
673610.648226042,0,0.051530108,-0.0986152,0.01704961,0.39201877,1.1101443,-2.34551,false
673610.668226042,0,0.024654463,-0.060724735,0.019874215,0.42548978,1.147732,-2.6085389,false
673610.688226042,20000000,-0.002376251,-0.022295058,0.02290517,0.4589608,1.1853198,-2.8715677,false
673610.708226042,0,-0.021827161,0.016628146,0.028035522,0.4794574,1.1833881,-2.9737203,false
673610.728226042,0,-0.04144948,0.056007326,0.03332162,0.49995402,1.1814563,-3.0758727,false
673610.748226042,0,-0.034625366,0.13024896,0.040492594,0.49497166,1.0596871,-2.8894372,false
673610.768226042,20000000,-0.0012835506,0.15470529,0.05039656,0.44604215,1.0328794,-2.6017885,false
673610.788226042,0,0.0106088165,0.15762866,0.057711363,0.42047098,1.030893,-2.4673102,false
673610.808226042,20000000,0.022377864,0.1606999,0.06506628,0.3948998,1.0289066,-2.332832,false
673610.828226042,0,0.024841642,0.17120773,0.09185976,0.2918206,1.0143356,-1.9725347,false
673610.848226042,20000000,0.022533897,0.1811344,0.101584435,0.23516299,0.98904145,-1.8126721,false
673610.868226042,0,0.03320805,0.18743122,0.11093265,0.05645316,0.93879634,-1.4577193,false
673610.888226042,0,0.038070038,0.1848265,0.114887,0.006536182,0.9515606,-1.3345754,false
673610.908226042,20000000,0.042925864,0.18219697,0.11882383,-0.0433808,0.9643249,-1.2114314,false
673610.928226042,0,0.02786152,0.17961568,0.1370461,-0.07153624,0.93566626,-0.9370699,false
673610.948226042,20000000,0.026047409,0.16812086,0.13117462,-0.05047198,0.88716877,-0.7905445,false
673610.968226042,0,0.027580515,0.15184009,0.12165022,-2.2828579e-05,0.8665956,-0.71299535,false
673610.988226042,20000000,0.029120747,0.13550973,0.11206645,0.05042632,0.84602255,-0.63544625,false
673611.008226042,0,0.016691487,0.094041646,0.09348768,0.23396797,0.7595899,-0.55477417,false
673611.028226042,0,-0.027448349,0.059200943,0.0894891,0.35698262,0.65125203,-0.45019627,false
673611.048226042,20000000,-0.040007118,0.037060797,0.083610654,0.42858806,0.5592663,-0.38214952,false
673611.068226042,0,-0.06829734,0.016750693,0.05008012,0.4471545,0.45982292,-0.34362197,false
673611.088226042,20000000,-0.09659404,-0.0035755038,0.016530573,0.46572092,0.36037952,-0.30509442,false
