timestamp,dtNs,ax,ay,az,gx,gy,gz,label
204674.777867208,0,0.6944023,0.6771935,-0.9276223,0.6038617,-0.11525671,0.02118695,false
204674.797867207,19999999,0.29348767,0.08507633,-0.13759792,0.6337065,-0.12267789,0.05322981,false
204674.817867208,0,0.1370031,0.026305854,-0.05900055,0.6578783,-0.12159347,0.073449545,false
204674.837867208,0,-0.005976647,-0.014568746,-0.009436488,0.7170068,-0.13581187,0.15254915,false
204674.857867207,19999999,-0.0031054318,-0.015531063,-0.002494812,0.7378108,-0.14799778,0.18663353,false
204674.877867208,0,0.0004492402,-0.01231572,0.0033137798,0.76662105,-0.14101951,0.22320263,false
204674.897867207,19999999,-0.005431205,-0.014752269,0.00020813942,0.77545565,-0.15723604,0.25939256,false
204674.917867208,0,-0.0073110163,-0.012979448,0.00485909,0.79015505,-0.1691206,0.28923327,false
204674.937867207,19999999,-0.009162366,-0.011188537,0.009456992,0.8048545,-0.18100515,0.319074,false
204674.957867208,0,-0.019639254,0.00578928,0.008401871,0.8100731,-0.20530967,0.37490636,false
204674.977867208,0,-0.019791722,0.01041019,0.020467699,0.8087442,-0.23210104,0.39323157,false
204674.997867207,19999999,-0.012504846,0.014758706,0.031200767,0.81112653,-0.22549385,0.37954465,false
204675.017867208,0,-0.010604173,0.00988403,0.038347483,0.8127037,-0.20271976,0.3599117,false
204675.037867208,0,-0.033760756,-0.02575636,0.039709628,0.82653284,-0.19586195,0.4089179,false
204675.057867207,19999999,-0.031052202,-0.029451698,0.052691996,0.84394866,-0.19622757,0.45909914,false
204675.077867208,0,-0.022092849,-0.02478978,0.057186007,0.85371816,-0.16071533,0.4887643,false
204675.097867208,0,-0.018048853,-0.04565209,0.027642012,0.8688412,-0.07166679,0.52790475,false
204675.117867207,19999999,-0.014712036,-0.07194762,0.018211067,0.8981518,-0.04742784,0.5360999,false
204675.137867208,0,-0.019580692,-0.16823366,-0.02716291,1.0013748,0.026179189,0.5943495,false
204675.157867207,19999999,-0.023549855,-0.22547464,-0.061451018,1.0518659,0.10959455,0.61087316,false
204675.177867208,0,-0.09052232,-0.43195343,-0.2309382,1.1319437,0.19058344,0.92021483,false
204675.197867207,19999999,-0.12692255,-0.52752143,-0.26407003,1.2148868,0.100126326,1.2724403,false
204675.217867208,0,-0.13995928,-0.5757149,-0.19427413,1.4085293,0.04477392,1.69303,false
204675.237867208,0,-0.091074154,-0.6175487,-0.0799675,1.957627,0.22272244,2.757689,false
204675.257867207,19999999,-0.072010666,-0.6200968,-0.110153556,2.109238,0.46111155,3.0364673,false
204675.277867208,0,-0.10852653,-0.72094965,-0.17950422,2.3515794,0.59897274,3.8674984,false
204675.297867208,0,-0.07590312,-0.7503459,-0.16786665,2.539873,0.57612115,4.656023,false
204675.317867208,0,0.079672545,-0.66420454,-0.04103756,2.9651828,0.67404956,6.173237,false
204675.337867207,19999999,0.17268297,-0.5507735,0.01237458,3.115226,0.80286914,6.6563015,false
204675.357867208,0,0.23488542,-0.44524935,0.052810192,3.2302825,0.937868,6.932468,false
204675.377867208,0,0.34774488,-0.17166172,0.117486775,3.437499,1.3910528,7.2870193,false
204675.397867207,19999999,0.33643326,-0.09738079,0.10875523,3.467573,1.5355129,7.297873,false
204675.417867208,0,0.29804075,0.062693365,0.075398386,3.4424717,1.723829,7.1574054,false
204675.437867207,19999999,0.26607916,0.11297702,0.048384726,3.401745,1.7256323,7.050011,false
204675.457867208,0,0.24415322,0.17021276,0.033282578,3.3576694,1.7411176,6.8501325,false
204675.477867208,0,0.17607553,0.2934164,-0.03449422,3.14836,1.709489,6.247727,false
204675.497867207,19999999,0.1568057,0.35229367,-0.05207771,3.0318575,1.6889096,5.9101963,false
204675.517867208,0,0.06853019,0.45592692,-0.11251402,2.6732209,1.6431149,4.940542,false
204675.537867207,19999999,0.021619782,0.50338626,-0.14453453,2.4857044,1.5418849,4.4877434,false
204675.557867208,0,-0.016897917,0.5395745,-0.15673625,2.2783074,1.4249722,3.9884062,false
204675.577867208,0,-0.1328517,0.5122977,-0.15664423,1.8599272,1.1200163,2.6683822,false
204675.597867207,19999999,-0.2114868,0.45285103,-0.17815346,1.7881941,0.87346447,2.2881908,false
204675.617867208,0,-0.19765984,0.44212413,-0.15933102,1.7243197,0.6209714,1.7631297,false
204675.637867207,19999999,-0.18312044,0.43067187,-0.14099729,1.6604455,0.3684783,1.2380687,false
204675.657867208,0,-0.19595762,0.3598908,-0.1248675,1.557174,0.013490681,0.44511402,false
204675.677867207,19999999,-0.20222299,0.30295494,-0.10359281,1.5365112,-0.08142571,0.17796347,false
204675.697867208,0,-0.21893135,0.267057,-0.114298165,1.5535942,-0.084409736,0.045482114,false
204675.717812583,0,-0.2473201,0.20814742,-0.15637673,1.4391276,-0.14154054,-0.008252066,false
204675.737812582,19999999,-0.2451185,0.1648168,-0.15260863,1.1793401,-0.024206832,0.102161765,false
204675.757812583,0,-0.2389395,0.15339553,-0.14849865,0.985703,0.09081997,0.18337178,false
204675.777812582,19999999,-0.23272322,0.14176095,-0.14458299,0.79206586,0.20584679,0.2645818,false
204675.797812583,0,-0.26299986,0.09633809,-0.19877541,0.5004206,0.4329666,0.29934913,false
204675.817812582,19999999,-0.32299462,-0.02411896,-0.29128462,0.3767562,0.5705658,0.24482629,false
204675.837812583,0,-0.33270618,-0.07451904,-0.3981086,0.270044,-0.21253105,1.18307,false
204675.857812582,19999999,-0.1377287,0.17454684,-0.24400479,0.14336877,-0.0050937384,0.9643681,false
204675.877812583,0,-0.018718705,0.40715793,-0.13435811,-0.09555193,0.36771503,0.30764276,false
