timestamp,dtNs,ax,ay,az,gx,gy,gz,label,chewing_soft
667666.080179708,0,-0.6487556,0.22767764,-0.6184943,-0.11894401,-0.049209874,-0.26411343,False,0.0
667666.100179708,20000000,-0.35156092,0.14509484,-0.19848931,-0.095254034,0.012495302,-0.25105706,False,0.0
667666.120179708,0,-0.23405719,0.112719364,-0.10102254,-0.08197637,0.029013248,-0.19736648,False,0.0
667666.140179708,20000000,-0.104250744,0.076253384,-0.025917053,-0.068698704,0.04553119,-0.14367588,False,0.0
667666.160179709,0,-0.062220156,0.062184263,-0.01267761,-0.037811358,0.050414436,-0.12087764,False,0.0
667666.180179709,20000000,-0.019654587,0.047997683,-0.0010396838,-0.0069240127,0.055297676,-0.0980794,False,0.0
667666.200179709,0,0.0028797388,0.03310912,0.0021057725,0.008468873,0.06941374,-0.06558516,False,0.0
667666.220179709,20000000,0.025474891,0.018216047,0.005058706,0.023861758,0.0835298,-0.033090916,False,0.0
667666.240179709,0,0.037029415,0.002004262,0.0065277815,0.05072863,0.11024779,-0.050625935,False,0.0
667666.260179709,20000000,0.048589677,-0.014208991,0.007987738,0.0775955,0.13696578,-0.06816096,False,0.0
667666.280179709,0,0.034252614,-0.00481214,0.01382798,0.044606555,0.095531,-0.057844512,False,0.0
667666.300179709,20000000,0.019925117,0.004577305,0.01965046,0.011617608,0.05409623,-0.047528066,False,0.0
667666.320179709,0,0.02413246,-0.0018870197,0.013048053,0.008148242,0.0035569966,-0.0491208,False,0.0
667666.340179709,20000000,0.028342932,-0.008355707,0.006428659,0.0046788743,-0.046982236,-0.050713528,False,0.0
667666.360179709,0,0.024316669,-0.0035233833,0.005791247,0.0075669233,-0.07206981,-0.040219203,False,0.0
667666.380179709,0,0.018481195,0.00013878569,0.0033131242,0.032150447,-0.08348639,-0.008242641,False,0.0
667666.400179709,20000000,0.012645513,0.0038008317,0.0008341074,0.05673397,-0.094902985,0.023733921,False,0.0
667666.420179709,0,0.01251331,5.6941062e-05,-0.0015879273,0.09743436,-0.070575446,0.051880516,False,0.0
667666.440179709,20000000,0.012383252,-0.0036870912,-0.004013419,0.13813475,-0.046247914,0.08002712,False,0.0
667666.460179709,0,0.010542989,-0.012992337,-0.0006891489,0.16177681,-0.01959428,0.08639659,False,0.0
667666.480179709,20000000,0.00870806,-0.022297613,0.0026272535,0.18541889,0.007059356,0.09276607,False,0.0
667666.500179709,0,0.008808583,-0.025227278,0.0035299063,0.20192906,0.01975694,0.08489335,False,0.0
667666.520179709,20000000,0.00891149,-0.028157055,0.0044278502,0.21843925,0.03245452,0.07702064,False,0.0
667666.540179709,0,0.004237443,-0.021981306,0.003305614,0.2286564,0.02691337,0.055010688,False,0.0
667666.560179709,20000000,-0.00043153763,-0.015807442,0.0021618009,0.23887356,0.021372218,0.033000734,False,0.0
667666.580179709,0,-0.0042285323,-0.005357817,0.0006326437,0.23492174,0.017018486,0.041777585,False,0.0
667666.600179709,0,-0.017251194,-0.018518604,0.004935026,0.3038852,-0.016238157,-0.010501373,False,0.0
667666.620179709,20000000,-0.016827941,-0.02154591,-1.0430813e-05,0.3227277,-0.029122017,-0.02126007,False,0.0
667666.640179709,0,-0.02087386,-0.028106384,-0.0039485693,0.41622323,-0.018062893,-0.050471146,False,0.0
667666.660179709,20000000,-0.025540978,-0.026929148,-0.002902627,0.4359017,-0.02083276,-0.05677234,False,0.0
667666.680179709,0,-0.025203466,-0.023673028,-0.0028583407,0.4468467,-0.024812695,-0.05841934,False,0.0
667666.700179709,20000000,-0.024869114,-0.020418853,-0.0028365254,0.4577917,-0.02879263,-0.060066342,False,0.0
667666.720179709,0,-0.025013998,-0.022166565,-0.00056642294,0.4602053,-0.032891687,-0.05065763,False,0.0
667666.740179709,20000000,-0.025160998,-0.023916304,0.0016834736,0.4626189,-0.036990743,-0.041248918,False,0.0
667666.760179709,0,-0.023097873,-0.022587165,0.0006931424,0.4310925,-0.03755791,-0.028755378,False,0.0
667666.780179709,20000000,-0.021039411,-0.021263987,-0.0003555417,0.39956614,-0.03812508,-0.016261838,False,0.0
667666.800179709,0,-0.019462287,-0.01642555,0.001105547,0.33388317,-0.046245344,-0.0013413206,False,0.0
667666.820179709,20000000,-0.017886028,-0.011592135,0.0025185347,0.2682002,-0.05436561,0.013579196,False,0.0
667666.840179709,0,-0.01049988,-0.011779398,0.0027056932,0.19300583,-0.03454607,-0.015639797,False,0.0
667666.860179709,0,-0.010835782,-0.006701678,0.0026949644,0.045278996,-0.045296088,-0.057242747,False,0.0
667666.880179709,0,-0.019866437,-0.0003875643,0.01261723,-0.14778586,-0.096973486,-0.06084445,False,0.0
667666.900179709,20000000,-0.015440673,0.0013135076,0.011825502,-0.19041207,-0.09892878,-0.057302345,False,0.0
667666.920179709,40000000,-0.011014089,0.0030142963,0.011031568,-0.23303829,-0.10088407,-0.053760238,False,0.0
667666.940179709,0,-0.009421334,-0.0023975968,0.0070021152,-0.35028198,-0.08457253,-0.057316583,False,0.0
667666.960179709,20000000,-0.007806286,-0.007835582,0.002827406,-0.4675257,-0.06826099,-0.060872927,False,0.0
667666.980179709,40000000,-0.006169066,-0.013297841,-0.0014929771,-0.58476937,-0.05194945,-0.06442927,False,0.0
667667.000179709,60000000,-0.004509926,-0.018782616,-0.0059592724,-0.7020131,-0.035637908,-0.06798561,False,0.0
667667.020179709,80000000,-0.0028290302,-0.024288088,-0.010571778,-0.8192568,-0.019326363,-0.07154196,False,0.0
