timestamp,dtNs,ax,ay,az,gx,gy,gz,label,chewing_soft
127840.69904025,0,-0.0028698146,0.08616406,0.027418315,0.19370775,0.042920936,-0.024544567,False,0.0
127840.71904025,20000000,-0.013769135,0.1098057,0.03978449,0.21682766,0.031762026,-0.038830794,False,0.0
127840.73904025,0,-0.015206635,0.12277955,0.042017996,0.2418963,0.036336686,-0.060621724,False,0.0
127840.75904025,0,-0.013859972,0.13296378,0.038653314,0.2762296,0.046720777,-0.08837595,False,0.0
127840.77904025,0,-0.016464986,0.13360125,0.037154973,0.33799276,0.06551151,-0.097953215,False,0.0
127840.79904025,0,-0.013745502,0.12264454,0.039165556,0.42529678,0.09978604,-0.11779169,False,0.0
127840.81904025,20000000,-0.015017033,0.11092591,0.045154393,0.5265076,0.11406524,-0.12559026,False,0.0
127840.83904025,0,-0.0038852245,0.09351814,0.039343476,0.61987793,0.14783268,-0.1477126,False,0.0
127840.85904025,0,-0.0029451102,0.08313644,0.030939579,0.672524,0.16550483,-0.15851182,False,0.0
127840.87904025,0,-0.008046731,0.07331073,0.022110224,0.70361483,0.16590515,-0.16710383,False,0.0
127840.89904025,0,-0.0193109,0.0698787,0.030153632,0.7235923,0.16566569,-0.1556056,False,0.0
127840.91904025,20000000,-0.050026923,0.061668992,0.051386237,0.7806747,0.14861065,-0.13627633,False,0.0
127840.93904025,0,-0.0847255,0.09963423,0.060082138,0.72925,0.07636837,-0.06872711,False,0.0
127840.95904025,20000000,-0.11051169,0.08227551,0.05661267,0.7245404,0.028086208,0.022727005,False,0.0
127840.97904025,0,-0.12964691,0.061617672,0.05017847,0.74550694,-0.0409505,0.11576655,False,0.0
127840.99904025,0,-0.12637609,0.055657864,0.00144279,0.7201619,-0.045774132,0.17101689,False,0.0
127841.01904025,0,-0.12096101,0.042010784,-0.04707825,0.6641232,-0.010479152,0.19770624,False,0.0
127841.03904025,0,-0.12205079,0.028618395,-0.0835129,0.62324405,0.05078009,0.19880025,False,0.0
127841.05904025,0,-0.12476213,0.016998231,-0.1087873,0.596941,0.14927408,0.19975382,False,0.0
127841.07904025,0,-0.11964824,0.0014259815,-0.11193895,0.58783406,0.27103618,0.19281557,False,0.0
127841.09904025,0,-0.10784503,-0.013666987,-0.102197886,0.58993936,0.4116452,0.17135534,False,0.0
127841.11904025,0,-0.086842895,-0.039464146,-0.087917864,0.5857913,0.586452,0.13566561,False,0.0
127841.13904025,0,-0.075319625,-0.061697036,-0.06765497,0.59188974,0.7149992,0.12389438,False,0.0
127841.15904025,20000000,-0.061818734,-0.07167566,-0.04883665,0.5513767,0.8119556,0.052090734,False,0.0
127841.17904025,0,-0.080545425,-0.06556445,-0.010112286,0.4580462,0.81548584,0.06439917,False,0.0
127841.199027833,0,-0.0773539,-0.089214355,0.0037671758,0.37332886,0.8376856,0.086860895,False,0.0
127841.219027833,0,-0.07570328,-0.08685619,0.011094332,0.2506404,0.84042174,0.10879148,False,0.0
127841.239027833,20000000,-0.07988572,-0.083654195,0.017055452,0.1282735,0.8415587,0.14430657,False,0.0
127841.259027833,0,-0.088740245,-0.08278704,0.030376554,0.035880424,0.80012095,0.19114286,False,0.0
127841.279027833,0,-0.082632616,-0.092188776,0.043676853,0.008682653,0.7259227,0.23834378,False,0.0
127841.299027833,20000000,-0.088012636,-0.10856822,0.05128759,0.027931895,0.6248183,0.26978233,False,0.0
127841.319027833,0,-0.08600575,-0.09188622,0.041510284,-0.028925546,0.53667533,0.33381337,False,0.0
127841.339027833,0,-0.08864336,-0.08894402,0.028835177,-0.14635769,0.4159658,0.41658962,False,0.0
127841.359027833,0,-0.084145844,-0.10493478,0.018247902,-0.2556098,0.2606687,0.4978469,False,0.0
127841.379027833,0,-0.054564297,-0.12177211,-0.00919795,-0.36799347,0.19643971,0.5507342,False,0.0
127841.399027833,20000000,-0.04305312,-0.120983094,-0.008233488,-0.47120464,0.15826994,0.6326946,False,0.0
127841.419027833,0,-0.033786,-0.12877947,0.0057215095,-0.5189885,0.15091625,0.70324445,False,0.0
127841.439027833,0,-0.026153624,-0.13090193,0.025710344,-0.50524247,0.1429054,0.75301224,False,0.0
127841.459027833,20000000,-0.0067048073,-0.11209196,0.036246598,-0.45358816,0.11015348,0.7731006,False,0.0
127841.479027833,0,0.0325073,-0.08065426,0.03947574,-0.351959,0.07593718,0.761837,False,0.0
