frame,t_rel,t_abs,mar,delta_mar,mar_bp,nose_lip_dist,delta_nose_lip_dist,chin_lip_dist,delta_chin_lip_dist,valid
0,0.000000,,0.032112,0.000000,0.000810,96.766174,0.000000,141.367264,0.000000,1
1,0.033335,,0.028436,-0.003676,-0.001498,100.529961,3.763786,147.511963,6.144699,1
2,0.066669,,0.026327,-0.002109,-0.003540,99.140160,-1.389801,151.054779,3.542816,1
3,0.100004,,0.021947,-0.004381,-0.005132,101.105469,1.965309,153.200897,2.146118,1
4,0.133339,,0.014989,-0.006957,-0.006244,106.563904,5.458435,156.388275,3.187378,1
5,0.166674,,0.028865,0.013875,-0.007000,106.067093,-0.496811,151.984756,-4.403519,1
6,0.200008,,0.028949,0.000084,-0.007526,106.906219,0.839127,154.073166,2.088409,1
7,0.233343,,0.025982,-0.002967,-0.007840,107.857430,0.951210,157.970154,3.896988,1
8,0.266678,,0.019808,-0.006175,-0.007826,109.289619,1.432190,154.343399,-3.626755,1
9,0.300012,,0.018618,-0.001190,-0.007288,108.585442,-0.704178,157.899460,3.556061,1
10,0.333347,,0.020560,0.001943,-0.006065,106.293877,-2.291565,159.351868,1.452408,1
11,0.366682,,0.016341,-0.004219,-0.004247,105.082817,-1.211060,156.110901,-3.240967,1
12,0.400016,,0.017823,0.001482,-0.002163,106.535072,1.452255,154.554550,-1.556351,1
13,0.433351,,0.039334,0.021512,-0.000345,107.619759,1.084686,157.321457,2.766907,1
14,0.466686,,0.037083,-0.002251,0.000690,109.080803,1.461044,158.416779,1.095322,1
15,0.500021,,0.030295,-0.006788,0.000648,108.600052,-0.480751,159.176361,0.759583,1
16,0.533355,,0.019421,-0.010874,-0.000450,105.191147,-3.408905,158.346954,-0.829407,1
17,0.566690,,0.036650,0.017229,-0.002171,110.504555,5.313408,159.151810,0.804855,1
18,0.600025,,0.014584,-0.022065,-0.003935,101.220459,-9.284096,154.791016,-4.360794,1
19,0.633359,,0.022751,0.008167,-0.005147,106.184517,4.964058,156.926132,2.135117,1
20,0.666694,,0.027903,0.005152,-0.005472,107.797035,1.612518,153.580261,-3.345871,1
21,0.700029,,0.016475,-0.011428,-0.004905,104.557716,-3.239319,155.474243,1.893982,1
22,0.733363,,0.016587,0.000113,-0.003764,107.142578,2.584862,154.218201,-1.256042,1
23,0.766698,,0.034437,0.017850,-0.002606,109.791855,2.649277,156.265472,2.047272,1
24,0.800033,,0.033804,-0.000633,-0.001954,109.610962,-0.180893,155.771210,-0.494263,1
25,0.833368,,0.034416,0.000612,-0.002157,109.377235,-0.233727,156.047089,0.275879,1
26,0.866702,,0.023415,-0.011000,-0.003193,108.092690,-1.284546,155.336548,-0.710541,1
27,0.900037,,0.013026,-0.010390,-0.004800,104.617340,-3.475349,153.701828,-1.634720,1
28,0.933372,,0.014558,0.001532,-0.006585,104.396523,-0.220818,151.714874,-1.986954,1
29,0.966706,,0.022726,0.008168,-0.008184,104.302773,-0.093750,151.904434,0.189560,1
30,1.000041,,0.024157,0.001430,-0.009369,105.879097,1.576324,151.968903,0.064468,1
31,1.033376,,0.018482,-0.005674,-0.010008,103.535332,-2.343765,152.801697,0.832794,1
32,1.066710,,0.017420,-0.001062,-0.010053,103.663742,0.128410,153.113968,0.312271,1
33,1.100045,,0.023019,0.005599,-0.009441,107.866196,4.202454,153.955963,0.841995,1
34,1.133380,,0.020211,-0.002807,-0.008062,107.573219,-0.292976,154.308029,0.352066,1
35,1.166715,,0.019260,-0.000952,-0.005871,103.396782,-4.176437,153.978226,-0.329803,1
36,1.200049,,0.017179,-0.002081,-0.002896,105.174988,1.778206,154.056595,0.078369,1
37,1.233384,,0.026994,0.009815,0.000685,107.234314,2.059326,153.562119,-0.494476,1
38,1.266719,,0.035007,0.008013,0.004489,108.992226,1.757912,152.675201,-0.886917,1
39,1.300053,,0.033760,-0.001246,0.008058,109.262756,0.270531,153.440872,0.765671,1
40,1.333388,,0.037781,0.004021,0.010930,110.941963,1.679207,153.404190,-0.036682,1
41,1.366723,,0.037760,-0.000021,0.012838,109.810310,-1.131653,153.833557,0.429367,1
42,1.400057,,0.046655,0.008894,0.013742,110.200768,0.390457,155.386307,1.552750,1
43,1.433392,,0.035654,-0.011001,0.013840,109.159782,-1.040985,153.381577,-2.004730,1
44,1.466727,,0.036551,0.000898,0.013575,109.821831,0.662048,152.170044,-1.211533,1
45,1.500062,,0.040510,0.003959,0.013413,109.774490,-0.047340,153.542419,1.372375,1
46,1.533396,,0.039948,-0.000562,0.013767,109.988998,0.214508,153.578461,0.036041,1
47,1.566731,,0.037784,-0.002164,0.014813,111.454597,1.465599,154.556274,0.977814,1
48,1.600066,,0.040196,0.002411,0.016493,111.959274,0.504677,155.440552,0.884277,1
49,1.633400,,0.049208,0.009013,0.018529,112.654053,0.694778,155.751511,0.310959,1
50,1.666735,,0.049393,0.000185,0.020494,111.957779,-0.696274,156.010422,0.258911,1
51,1.700070,,0.048498,-0.000895,0.021980,111.934242,-0.023537,155.836777,-0.173645,1
52,1.733404,,0.053434,0.004935,0.022663,111.733459,-0.200783,154.980316,-0.856461,1
53,1.766739,,0.050971,-0.002463,0.022449,112.115959,0.382500,156.252075,1.271759,1
54,1.800074,,0.054851,0.003880,0.021406,112.047638,-0.068321,154.252930,-1.999146,1
55,1.833409,,0.054608,-0.000243,0.019716,110.587555,-1.460083,154.813309,0.560379,1
56,1.866743,,0.044176,-0.010432,0.017646,110.256844,-0.330711,154.907074,0.093765,1
57,1.900078,,0.049525,0.005348,0.015389,110.610023,0.353180,154.879288,-0.027786,1
58,1.933413,,0.053464,0.003939,0.013039,113.459419,2.849396,155.535873,0.656586,1
59,1.966747,,0.055721,0.002257,0.010593,113.523384,0.063965,155.909805,0.373932,1
60,2.000082,,0.051202,-0.004519,0.007985,112.437027,-1.086357,154.332947,-1.576859,1
61,2.033417,,0.049668,-0.001533,0.005132,112.939308,0.502281,155.460571,1.127625,1
62,2.066752,,0.049411,-0.000257,0.001983,114.039627,1.100319,155.382477,-0.078094,1
63,2.100086,,0.055284,0.005872,-0.001494,114.291206,0.251579,155.772324,0.389847,1
64,2.133421,,0.037576,-0.017708,-0.005331,111.701942,-2.589264,155.048706,-0.723618,1
65,2.166756,,0.057529,0.019953,-0.009535,114.005638,2.303696,156.274948,1.226242,1
66,2.200090,,0.050349,-0.007180,-0.014110,114.080093,0.074455,155.753479,-0.521469,1
67,2.233425,,0.036565,-0.013784,-0.019033,113.414185,-0.665909,155.463745,-0.289734,1
68,2.266760,,0.053163,0.016598,-0.024198,114.752525,1.338341,156.555695,1.091949,1
69,2.300094,,0.049319,-0.003845,-0.029435,115.014793,0.262268,157.297623,0.741928,1
70,2.333429,,0.044355,-0.004963,-0.034508,112.230797,-2.783997,156.533829,-0.763794,1
71,2.366764,,0.047124,0.002768,-0.039190,113.672394,1.441597,157.085251,0.551422,1
