frame,timestamp,feat_nose_to_lips_lips_to_chin,feat_between_lips_to_mouth_width,feat_top_lip_height_to_mouth_width,feat_bottom_lip_height_to_mouth_width,feat_mouth_width_nose_to_chin,feat_mouth_width_outside_lips,feat_mouth_width_inside_lips,status,mouth,action,bite_count,chew_count,chews_per_bite,behind_hand,mouth_open_ratio,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9,label
16,0.5333721494420184,0.4755486429210577,0.0312676211881754,0.1105477348686552,0.1901935145749925,0.6962713287324693,0.6962713287324693,31.98196607224381,,Closed,Other,0,0,0.0,False,0.0312676211881754,63.51377803280167,58.60034129593445,55.31726674375732,53.33854141237835,79.47955712005447,75.8023746329889,74.24284477308234,79.05694150420949,166.41213898030395,112.92918134831228,73.348483283569,70.77428911688199,66.61080993352356,66.12110101926616,92.17917335276988,88.20430828479978,89.00561780022652,92.97311439335569,174.15223225672418,122.494897852931,163.07666908543356,58.034472514187634,18.027756377319943,5.0990195135927845,31.016124838541646,122.03687967167956,not-chew
17,0.5667079087821446,0.4634548088592215,0.0304736454457103,0.1098742912048183,0.1828418726742621,0.7038035011527289,0.7038035011527289,32.81524036175874,,Closed,Other,0,0,0.0,False,0.0304736454457103,61.29437168288782,56.36488268416781,53.36665625650534,51.47815070493501,78.54934754662193,74.81310045707235,74.24284477308234,77.79460135510689,166.41213898030395,111.5212984142491,74.24957912338628,70.00714249274856,66.61080993352356,67.11929677819934,94.11163583744572,90.19977827023745,90.00555538409837,94.5568612000208,174.64249196572982,123.3288287465668,164.0762018087937,57.0350769263968,18.027756377319943,5.0,30.0,123.06502346320826,not-chew
18,0.6000436681222707,0.4714356273614433,0.037709009900252,0.1070268831779892,0.1826931372525482,0.6822030425615583,0.6822030425615583,26.51886121235224,,Closed,Other,0,0,0.0,False,0.037709009900252,58.008620049092706,54.12947441089743,49.24428900898052,48.507731342539614,75.39230729988306,71.84705978674423,71.17583859709698,76.84399781375251,166.41213898030395,109.63576058932595,71.58910531638176,68.0294054067798,64.4980619863884,64.1248781675256,91.67878707749138,88.14193099768123,88.0056816347672,91.0823802938856,173.11845655504212,121.16517651536682,159.11316727411344,58.034472514187634,17.029386365926403,6.0,29.068883707497267,123.10158406779338,not-chew
19,0.6333794274623968,0.4716142980857541,0.037774576464507,0.1057542283163539,0.186406536467045,0.6871182483234797,0.6871182483234797,26.472831560126146,,Closed,Other,0,0,0.0,False,0.037774576464507,60.74537019394976,55.90169943749474,52.172789842982326,50.35871324805669,77.83315488916018,74.67261881037788,73.10950690573696,78.43468620451031,169.11830178901394,110.1135777277262,71.55417527999327,68.54195795277518,64.77653896280658,65.12296062065974,91.21403400793103,87.28115489611719,88.0056816347672,91.706052144883,172.23530416264836,122.494897852931,161.02794788483146,58.077534382926416,17.029386365926403,6.082762530298219,30.01666203960727,123.14625451064276,not-chew
20,0.6667151868025231,0.4715208861862816,0.0367925101343386,0.1166708744858704,0.1900946356940828,0.7052385507129403,0.7052385507129403,27.17944484757226,,Closed,Other,0,0,0.0,False,0.0367925101343386,61.85466837676846,57.697486947006624,53.36665625650534,52.3450093132096,79.47955712005447,75.66372975210778,75.1065909225016,79.71198153351854,166.00301202086666,110.1135777277262,72.44998274671983,69.77822009767804,65.49045732013177,65.06919393998976,92.17917335276988,88.14193099768123,88.0056816347672,93.637599285757,172.7917822120022,122.67436570041843,163.07666908543356,56.1426753904728,19.026297590440446,6.0,31.0,119.06720791217036,not-chew
21,0.7000509461426492,0.473398329578156,0.051676892636255,0.1027557834241745,0.1987016195385203,0.6697675544632267,0.6697675544632267,19.35100871948381,,Closed,Other,0,0,0.0,False,0.051676892636255,56.302753041036986,54.20332093147061,48.83646178829912,47.095647357266465,73.38937252763509,70.57619995437555,69.00724599634447,75.23961722390672,170.95028517086482,104.63746938836012,70.68238818828917,69.77822009767804,64.4980619863884,65.00769185258002,89.98888820293314,86.28441342444185,87.00574693662483,92.69843580125828,169.0562036720333,121.16517651536682,156.01281998605114,57.14017850864661,16.0312195418814,8.06225774829855,31.0,120.702112657567,chew
22,0.7333867054827753,0.4875058558913069,0.0972198780211724,0.09133770345129,0.194935144758716,0.6272647364282541,0.6272647364282541,10.285962298597212,,Open,Bite,1,0,0.0,False,0.0972198780211724,48.60041152089147,51.61395160225576,42.44997055358225,41.048751503547585,63.324560795950255,61.814237842102365,61.1310068623117,70.66116330771806,164.62381358722072,97.082439194738,70.26378868236469,66.64833081180653,63.953107821277925,62.00806399170998,87.80091115700337,83.48652585896721,83.15046602394962,87.46427842267951,167.2602762164406,119.00420160649792,144.00347218036097,57.14017850864661,13.152946437965904,14.0,28.0713376952364,117.2092146548214,chew
23,0.7667224648229014,0.4944453217102275,0.0872306428485912,0.1008741620937589,0.2017483241875179,0.6465894188512449,0.6465894188512449,11.46386140631486,,Open,Bite,1,0,0.0,False,0.0872306428485912,53.600373133029585,54.644304369257,46.32493928760188,44.01136216933077,69.6419413859206,66.75327707311455,66.06814663663572,75.58438992278762,166.83225107874077,103.40696301506972,67.97793759742936,67.23094525588644,60.67124524847005,60.07495318350236,86.83317338436964,83.2946576918352,83.21658488546619,88.63972021616495,167.28717822953436,116.77756633874505,149.03019828209315,57.0350769263968,15.033296378372908,13.0,30.066592756745816,115.35163631262454,chew
24,0.8000582241630276,0.5184625529422726,0.144708659731448,0.0988840077390898,0.1977680154781796,0.6571504355024685,0.6571504355024685,6.910436471844955,,Open,Bite,1,0,0.0,False,0.144708659731448,56.0357029044876,59.665735560705194,48.76474136094644,46.69047011971501,73.16419889536138,70.03570517957252,69.72087205421343,81.49233092751734,166.83225107874077,105.4229576515476,67.53517601961218,69.63476143421474,61.18823416311342,59.682493245507096,87.36131867136622,83.48652585896721,84.01190391843289,91.706052144883,168.6001186239203,118.1905241548577,152.029602380589,56.08029957123981,15.033296378372908,22.0,30.066592756745816,108.16653826391968,chew
25,0.8333939835031537,0.5334243008301713,0.135566877880913,0.1096203996372573,0.2,0.6652295165815256,0.6652295165815256,7.376433061167325,,Open,Bite,1,0,0.0,False,0.135566877880913,59.64059020499378,62.00806399170998,50.695167422546305,49.49747468305833,77.62087348130012,72.99315036357864,73.55270219373317,84.11896337925236,165.0272704737008,110.25878649794764,67.11929677819934,70.60453243241541,59.84145720150872,58.85575587824864,86.40023148117139,83.2946576918352,83.18653737234169,92.660671268883,171.7672844286711,118.1397477566293,155.08062419270823,57.07889277132134,17.0,21.02379604162864,31.016124838541646,107.00467279516349,chew
